[00:00-00:01] 好 好 好
[00:01-00:03] 下一个节目是
[24:09-24:12] 韩国人你作弊
[24:15-24:18] 这就是我们的体育精神
[24:19-24:22] 哪还有体育精神来吧
[24:27-24:29] 好好好
[24:30-24:34] 在战场上就应该不择手段
[24:34-24:35] 公子方
[24:35-24:38] 你还是坐回团场这个位置吧
[24:40-24:41] 谢秦王
[24:41-24:42] 谢秦王
[24:43-24:45] 二爷 在这好好干
[24:45-24:47] 我太累了 我得回老家了
[24:47-24:48] 好 我送送您
[24:49-24:50] 秦王
[24:50-24:51] 我想将我父亲送回韩国
[24:51-24:52] 不行
[24:54-24:57] 秦王 这只是我一点小小的愿望
[24:57-24:58] 公子方
[25:02-25:05] 刚才我一直听你们二人
[25:05-25:07] 以父子相称
[25:07-25:11] 既然你来到我秦国当之子
[25:12-25:14] 理应只有一个父亲
[25:15-25:18] 你说是谁呀
[25:22-25:23] 秦王
[25:24-25:26] 无论我是不是世子
[25:26-25:28] 也无论我是不是团长
[25:28-25:29] 我的父亲都只有一个
[25:29-25:30] 就是
[25:31-25:32] 二爷
[25:34-25:35] 哥
[25:37-25:39] 别整孩子呀
[25:41-25:43] 这事我定一下
[25:43-25:44] 从今天开始
[25:44-25:48] 我与公子方便不再与父子相称
[25:48-25:49] 我们是朋友
[25:49-25:50] 我们是亲人
[25:50-25:51] 我们是组合
[25:51-25:52] 哭哭的天放
[25:52-25:53] 哭哭给您念小品
[25:55-25:56] 父亲
[25:57-25:59] 老弟
[26:00-26:02] 你已经有社会上的爹了
[26:02-26:04] 以后你就叫我
[26:05-26:06] 哎
[26:11-26:12] 哎
[26:14-26:15] 哎
[26:15-26:16] 哎
[26:16-26:17] 哎
[26:17-26:18] 哎
[26:18-26:19] 哎
[26:19-26:20] 哎
[26:21-26:22] 别哎了
[26:23-26:24] 公子方
[26:25-26:28] 好好向这位能屈能屈的韩王
[26:29-26:31] 学习一下吧
[26:31-26:32] 送
[26:32-26:34] 到大殿口
[26:34-26:36] 就在大殿口
[26:37-26:38] 好
[26:38-26:39] 那你们先聊一下
[26:39-26:41] 我休息一下
[26:41-26:43] 宋秦王
[26:45-26:47] 干啥呀你
[26:47-26:49] 拉了个脸比我还老呢
[26:51-26:52] 这个
[26:52-26:53] 我不用
[26:53-26:55] 给你的啊
[26:55-26:57] 我给我孩子呢
[26:58-27:01] 跟你说个特别特别好的事
[27:01-27:04] 咱们韩国第一大美女
[27:05-27:06] 我妈
[27:06-27:07] 对
[27:07-27:08] 让我跟你说
[27:08-27:11] 她每天都很想你
[27:12-27:13] 我也很想她
[27:13-27:14] 她知道
[27:14-27:16] 别送了啊
[27:17-27:18] 没送
[27:20-27:21] 家里都很好
[27:21-27:23] 不要担心
[27:23-27:24] 哎
[27:25-27:26] 就在这
[27:27-27:28] 别动
[27:33-27:34] 父
[27:37-27:38] 哎
[27:41-27:42] 哎
[27:43-27:44] 哎
[27:51-27:52] 为父王献舞
[27:52-27:54] 为父王献舞
[27:54-27:56] 为父王献舞
[27:56-27:58] 为父王献舞
[28:16-28:18] 抢婚吧哥们
[28:26-28:27] 兄呢
[28:27-28:28] 哎
[28:28-28:31] 我还是想不通
[28:31-28:33] 管月结婚
[28:33-28:36] 凭什么让我当伴娘啊
[28:38-28:39] 当伴娘
[28:40-28:42] 总比我扮成个金毛强吧
[28:43-28:44] 一会儿我就这样上台送戒指
[28:44-28:45] 一会儿我就这样上台送戒指
[28:45-28:47] 她弄条针口还不好吗
[28:47-28:48] 你往那边看
[28:48-28:49] 你看这边
[28:49-28:50] 握手
[28:50-28:51] 嗯
[28:51-28:52] 你往那边看
[28:52-28:53] 你往那边看
[28:53-28:54] 你往那边看
[28:54-28:55] 你看这边
[28:55-28:56] 握手
[28:56-28:57] 嗯
[28:59-29:00] 这啥意思啊
[29:00-29:02] 真够没你通人性
[29:02-29:03] 你丧一半去
[29:03-29:05] 那你说要不是冲着管月这关系
[29:05-29:06] 咱俩能干这活
[29:06-29:07] 肯定干不了啊
[29:07-29:09] 这不暴露性格吗
[29:13-29:14] 哎哎
[29:14-29:15] 问你个正事
[29:15-29:16] 新郎见着了吗
[29:16-29:17] 没见着
[29:17-29:19] 反正只要能对管月好
[29:19-29:20] 是谁都一样
[29:20-29:21] 也是
[29:21-29:22] 又不可能是天放
[29:22-29:23] 哎
[29:25-29:27] 不要在这个婚礼上
[29:27-29:29] 提这样禁忌的名字
[29:33-29:35] 管月听到会伤心的
[29:36-29:38] 可是我到现在都不明白
[29:38-29:40] 你说那么相爱的两个人
[29:41-29:42] 怎么就分手了呢
[29:43-29:45] 拌娘集合排练了
[29:45-29:46] 拌娘
[29:46-29:47] 叫你呢拌娘
[29:49-29:50] 来了
[29:50-29:52] 狗用枪去吧狗
[29:53-29:55] 我皮不好我告诉你别惹我啊
[29:55-29:56] 你坐着别咬人啊
[29:58-29:59] 哎我戒指呢
[30:00-30:01] 哎
[30:01-30:02] 我戒
[30:02-30:03] 啊
[30:03-30:04] 在战场
[30:07-30:08] 令峰
[30:09-30:10] 哥们
[30:10-30:11] 我回来了
[30:11-30:13] 你没看错吧
[30:14-30:15] 天放
[30:15-30:16] 是我
[30:17-30:18] 我的屎
[30:19-30:21] 你啥时候回来的呀
[30:21-30:22] 我刚下飞机
[30:22-30:23] 刚下飞机
[30:24-30:25] 哥们我想死你了
[30:25-30:26] 兄弟我也想你
[30:27-30:28] 但是
[30:28-30:30] 今天是管月的大喜日子
[30:30-30:32] 你不该来你走吧
[30:32-30:33] 管月叫我来的
[30:34-30:35] 管月叫你来的
[30:36-30:37] 对啊她不叫我怎么来啊
[30:39-30:40] 还可以这样啊
[30:42-30:43] 那我明白了
[30:44-30:45] 哥们你给我整紧张了
[30:45-30:46] 你紧张啥呀
[30:46-30:48] 王天放你要抢婚了
[30:49-30:51] 你别瞎喊我没要抢婚
[30:51-30:52] 想什么婚啊
[30:52-30:54] 哥们兄弟你就别瞒着我俩了
[30:55-30:56] 你俩
[30:56-30:57] 腾哥
[30:57-30:58] 干啥
[30:58-30:59] 你看谁来了
[31:00-31:01] 天放
[31:01-31:02] 我回来了
[31:06-31:07] 兄弟
[31:08-31:10] 我也很想你
[31:10-31:12] 但你今天不该来
[31:12-31:13] 今天是管月的婚礼
[31:14-31:15] 腾哥你误会了
[31:15-31:17] 天放是来抢婚的
[31:17-31:19] 兄弟我就怕这事你知道吗
[31:19-31:20] 管月叫她来的
[31:20-31:22] 那我就全通了
[31:22-31:23] 你别通了
[31:23-31:25] 你看她像有病似的她
[31:25-31:26] 就被你高兴
[31:26-31:29] 不是哥们本来我都没时间来参加这婚礼
[31:29-31:32] 后来因为管月婚礼延期了我才回来的
[31:32-31:33] 一通百通
[31:33-31:34] 怎么说
[31:34-31:36] 原来管月的婚礼延期
[31:36-31:38] 都是因为天放
[31:38-31:39] 是因为沙尘暴
[31:40-31:41] 是因为七级大风
[31:41-31:44] 是因为东北到华北地区止决降雨
[31:44-31:46] 跟我有什么关系
[31:46-31:48] 连老天爷都在帮你
[31:48-31:49] 不是哥们
[31:49-31:52] 我这次回来主要是为了给你俩个惊喜
[31:52-31:55] 我天你可拉倒吧王天放
[31:55-31:59] 我结婚的时候你都没说回来给我个惊喜
[31:59-32:02] 我离婚的时候你也没回来给我个惊喜
[32:02-32:04] 现在管月要结婚了
[32:04-32:06] 你说给我俩惊喜谁能信
[32:07-32:09] 这不巧了吗
[32:09-32:10] 再者说天放
[32:10-32:13] 你俩的爱情故事都是大家一起做的
[32:13-32:14] 而且大家都说
[32:14-32:16] 要是最后你俩没结婚的话
[32:16-32:18] 我们就再也不相信爱情了
[32:18-32:21] 你本来你也不相信你都离婚了
[32:26-32:28] 李峰你好不容易回来一趟
[32:28-32:29] 说这垃圾话
[32:29-32:30] 不是 林峰
[32:30-32:31] 我刚才不是那样
[32:31-32:32] 太顺了
[32:32-32:33] 你要是不难受的话
[32:33-32:34] 那你哭什么
[32:34-32:35] 谁哭
[32:35-32:36] 怎么他在这
[32:36-32:37] 我是说那天
[32:37-32:39] 你哭什么
[32:39-32:40] 哪天啊
[32:40-32:41] 天放
[32:44-32:46] 管月 对不起
[32:46-32:48] 我志愿表填错了
[32:48-32:51] 咱俩没有办法上同一所大学了
[32:52-32:53] 别哭了
[32:53-32:55] 悄悄告诉你
[32:55-32:57] 我是按照你的志愿填的
[32:57-32:58] 笨蛋
[33:01-33:02] 管月
[33:10-33:12] 我变鹅了
[33:12-33:13] 我是鹅是吧我
[33:13-33:14] 不止你是鹅
[33:14-33:17] 后来管月也变成鹅了
[33:18-33:19] 你变什么
[33:19-33:20] 不得了 你哥们
[33:20-33:22] 天放
[33:23-33:24] 天放
[33:24-33:27] 我来北京面试工作失败了
[33:27-33:30] 我们没有办法在同一个城市了
[33:31-33:33] 傻瓜 回头
[33:37-33:39] 回头啊傻瓜
[33:40-33:41] 回头
[33:44-33:45] 我可以和你
[33:45-33:47] 在同一个城市啊
[33:48-33:50] 天放
[33:50-33:51] 管月
[33:54-33:57] 你俩可别讲得太恶心了
[34:00-34:02] 我压你进了胸脑
[34:02-34:03] 管月
[34:03-34:05] 你就说这经历
[34:05-34:07] 我这心里能放下你
[34:07-34:08] 天放 你要放下我
[34:08-34:10] 我恨你一辈子
[34:10-34:11] 是吧
[34:11-34:12] 是啊
[34:12-34:13] 那我负责干倒新郎
[34:13-34:14] 我负责被所有人干倒
[34:14-34:17] 你俩谁也不用干倒
[34:18-34:20] 我俩现在这样挺好的
[34:20-34:21] 就主要后面的事
[34:21-34:22] 你俩也不知道
[34:22-34:23] 就这样吧
[34:23-34:24] 天放
[34:24-34:26] 咱们三个是最好的朋友
[34:26-34:27] 后面的事我俩不知道
[34:27-34:28] 你还有理了是吧
[34:28-34:29] 就是
[34:29-34:31] 你俩最后怎么分的手
[34:31-34:32] 我们谁也不知道
[34:32-34:33] 你快给说说
[34:33-34:34] 行 那我就跟你说
[34:34-34:35] 当时呢我们
[34:35-34:36] 我
[34:36-34:38] 你说你还不对
[34:41-34:42] 行
[34:43-34:44] 当时吧
[34:44-34:45] 我和管月我们两个遇
[34:45-34:46] 天放
[34:46-34:47] 这声好像
[34:47-34:48] 你俩谁学的
[34:52-34:53] 你真回来了
[34:58-34:59] 怎么了
[34:59-35:00] 不认识我了
[35:00-35:01] 认识
[35:02-35:03] 不是你给我发情景了吗
[35:03-35:04] 我就回来了
[35:04-35:05] 够意思啊
[35:05-35:06] 随理了没
[35:06-35:07] 随了
[35:07-35:08] 随多少
[35:08-35:09] 三万
[35:12-35:13] 熊的不
[35:13-35:14] 结婚你死于六百
[35:14-35:15] 管月结婚你死于三万
[35:15-35:16] 你真是
[35:16-35:17] 你是人啊
[35:17-35:18] 你们仨跟原来一样
[35:18-35:19] 一点没变
[35:19-35:20] 行了 我们还有事呢
[35:20-35:21] 你们先聊着
[35:21-35:22] 行 好
[35:23-35:24] 哥们
[35:24-35:26] 你看管月多开心啊
[35:26-35:27] 就这样吧
[35:27-35:28] 不闹
[35:28-35:29] 对了
[35:29-35:30] 等会儿仪式开始
[35:30-35:31] 你们都上一抢啊
[35:31-35:32] 尤其是你
[35:32-35:33] 好
[35:34-35:35] 凌峰啊
[35:35-35:36] 听见了吧
[35:36-35:37] 全听见了
[35:37-35:39] 既然管月已经明示
[35:39-35:40] 咱们去抢了
[35:40-35:42] 那咱就行动吧
[35:42-35:43] 想啥呀
[35:43-35:44] 人家说抢捧花
[35:44-35:45] 抢什么捧花
[35:46-35:48] 你这理解力也太差了
[35:48-35:49] 太差你这理解力
[35:49-35:51] 我理解力差
[35:51-35:52] 不是 我发现你们俩
[35:52-35:54] 怎么跟小时候一模一样呢
[35:54-35:55] 想一出是一出啊
[35:55-35:56] 快坐下
[35:56-35:57] 别闹
[35:57-35:58] 尊敬的
[35:59-36:00] 尊敬的
[36:01-36:02] 尊敬的
[36:02-36:03] 这个好
[36:03-36:04] 尊敬的
[36:05-36:06] 灯的
[36:10-36:11] 这现在我30岁
[36:11-36:12] 还想着玩
[36:12-36:13] 我挺尴尬的
[36:13-36:14] 咱俩高中毕业之后
[36:14-36:15] 就没见过了吧
[36:15-36:16] 对啊
[36:16-36:17] 自我介绍一下
[36:17-36:20] 我是今天这场婚礼的司仪
[36:20-36:21] 行了你
[36:21-36:22] 我得先练练啊
[36:22-36:23] 今天是管月的重要时刻
[36:23-36:24] 改天咱俩吃饭
[36:24-36:25] 快去
[36:25-36:27] 你看看人家灯的
[36:27-36:28] 多有正事
[36:28-36:29] 你再看看你俩
[36:29-36:31] 尊敬的女士们 先生们
[36:31-36:32] 嗓音越好
[36:32-36:35] 今天是管月和天放的婚礼
[36:35-36:37] 在这里我见证了
[36:37-36:39] 他们从稚嫩的少年
[36:42-36:44] 谁和谁的婚礼
[36:45-36:46] 你不是特意飞回来
[36:46-36:47] 为了抢婚吗
[36:47-36:48] 完了 我手卡都准备两份
[36:48-36:49] 这是原版 这是你的
[36:49-36:51] 谁跟你说我要抢
[36:52-36:53] 是不是你俩说的
[36:53-36:56] 兄弟 这事还用咱说吗
[36:56-36:57] 我就知道
[36:57-36:59] 这场轰轰烈烈的爱情
[36:59-37:00] 终将迎来华彩
[37:00-37:02] 你们别华彩
[37:02-37:04] 天放
[37:04-37:06] 淼淼 张诚
[37:08-37:10] 我现在好久没见了
[37:10-37:11] 不是 你等会
[37:13-37:14] 你们俩没事吧
[37:14-37:15] 这有什么事
[37:15-37:16] 参加婚礼啊
[37:16-37:17] 那我就放心了
[37:17-37:19] 我现在一看着同学来
[37:19-37:20] 我都在害怕了
[37:20-37:21] 都是同学怕上爱情
[37:21-37:22] 你都不知道
[37:22-37:24] 刚才他们仨有多不靠谱
[37:24-37:26] 罗文灯整两个手卡跟我说
[37:26-37:27] 这两个人让我数字机
[37:27-37:28] 数字机抢婚
[37:28-37:29] 完了 你们俩给我
[37:29-37:30] 整一个天放抢婚
[37:30-37:31] 你给我放
[37:32-37:33] 王天放 一会你就看我的
[37:33-37:34] 我一拉长
[37:34-37:37] 你牵着管元 你就跑吧
[37:38-37:39] 王天放 车我给你叫好了
[37:39-37:40] 车牌号J520
[37:40-37:42] 管 我爱你
[37:43-37:44] 天放 天放
[37:44-37:45] 终于走过了四季
[37:45-37:46] 走过了
[37:46-37:47] 那你们抢吗
[37:49-37:50] 不是 婚礼我不参加了什么吗
[37:50-37:51] 我走呢
[37:51-37:52] 走婚
[37:52-37:53] 走婚
[37:53-37:54] 叔叔 阿姨
[37:55-37:56] 他收了啊
[37:56-37:57] 叔叔 阿姨
[37:57-37:58] 叔叔 阿姨
[37:58-37:59] 你们还记得我
[37:59-38:01] 那你上高中的时候
[38:01-38:02] 天天上我们家蹭饭
[38:02-38:04] 阿姨给你洗过校服呢
[38:04-38:05] 对对对
[38:05-38:06] 那时候只要一吃饱饭
[38:06-38:07] 我和天放在书房里
[38:07-38:08] 就一起看那个那个
[38:08-38:10] 水舞传
[38:10-38:11] 叔叔
[38:11-38:12] 现在我是看不下去了
[38:12-38:14] 以后那本书交给你了
[38:14-38:15] 行
[38:15-38:16] 那个孩子们啊
[38:16-38:18] 一会儿就都交给你们了
[38:18-38:19] 好 好 好
[38:19-38:20] 天放 你不能走啊
[38:20-38:21] 一会儿带了大家
[38:21-38:22] 把这个气氛呢
[38:22-38:23] 搞起来
[38:28-38:29] 都敢说的吗
[38:30-38:31] 我讲两句
[38:31-38:32] 既然叔叔 阿姨
[38:32-38:33] 都已经明示了
[38:34-38:35] 别犹豫了 行动吧
[38:35-38:36] 行动
[38:36-38:38] 你怎么还不明白
[38:39-38:40] 叔叔 阿姨
[38:40-38:41] 把水舞传交给你
[38:41-38:42] 就是告诉你
[38:42-38:44] 该出手时就出手
[38:45-38:47] 我出什么手啊
[38:48-38:50] 哥哥
[38:51-38:52] 哥哥
[38:58-38:59] 弟兄们嘛
[39:01-39:03] 且听我一言吧
[39:05-39:06] 我与那管曰
[39:07-39:09] 早在五年前便了了前缘
[39:11-39:12] 虽缘分已尽
[39:12-39:14] 但情意存心间
[39:15-39:17] 心若莽撞形势
[39:17-39:19] 不仅限众弟兄与不义
[39:19-39:21] 又将那管曰
[39:21-39:22] 之于和定
[39:25-39:26] 更何况
[39:27-39:29] 管曰愿托付终生之人
[39:29-39:31] 定也是那英雄好
[39:31-39:33] 我等忠心祝福便是
[39:34-39:35] 抢婚一事
[39:37-39:38] 休要再提
[39:46-39:47] 谁要抢婚呢
[39:49-39:50] 哥哥
[39:54-39:55] 您是哪位啊
[39:56-39:57] 看不出来吗
[40:00-40:01] 什么
[40:02-40:04] 哥哥
[40:09-40:10] 哥哥
[40:10-40:11] 干了吧
[40:12-40:13] 绑了这扭人
[40:14-40:15] 弟兄们
[40:15-40:17] 带着您与嫂嫂冲江出去
[40:17-40:18] 到哪里
[40:18-40:20] 把能喝一喝
[40:23-40:26] 这可是要蹲大牢的呀
[40:28-40:30] 俺铁牛巴巴
[40:31-40:33] 嫂子
[40:36-40:37] 有病啊
[40:37-40:38] 喊什么喊
[40:40-40:41] 约好了吗呢
[40:41-40:42] 约好什么约好
[40:42-40:43] 赶快回准备去
[40:44-40:45] 撤
[40:46-40:47] 婚礼马上开始
[40:47-40:48] 所有人全部待命
[40:48-40:49] 听懂没
[40:49-40:50] 月啊
[40:50-40:51] 这个手持词的这个版本
[40:51-40:52] 我有数了
[40:53-40:54] 还有你
[40:54-40:55] 赶紧把这西服脱了
[40:55-40:56] 丑死了
[40:57-40:59] 这大红花还给你姐夫
[40:59-41:00] 知道了姐
[41:00-41:01] 姐夫
[41:01-41:02] 那我这花
[41:02-41:03] 你上市
[41:04-41:05] 下去
[41:07-41:09] 不是 你弟挺抽象
[41:15-41:16] 怎么着
[41:16-41:17] 长本事了
[41:17-41:18] 想抢婚
[41:18-41:19] 没有
[41:19-41:21] 他们在那儿瞎闹
[41:22-41:23] 这趟什么时候走
[41:23-41:24] 后天
[41:24-41:25] 那明天
[41:25-41:26] 我俩请你吃饭
[41:26-41:27] 行啊
[41:27-41:28] 但是得你俩请了
[41:28-41:30] 我钱都随给你俩了
[41:30-41:31] 行
[41:31-41:32] 让我老公请
[41:32-41:34] 他那会儿老磕咱俩了
[41:34-41:35] 是吗
[41:36-41:37] 行了
[41:37-41:38] 仪式快开始了
[41:38-41:39] 赶紧把你的包放下吧
[41:41-41:42] 放下了
[41:45-41:46] 早就放下了
[41:49-41:50] 那就祝你
[41:51-41:52] 新婚快乐呗
[41:53-41:54] 谢谢呗
[41:57-41:58] 不是
[41:58-41:59] 照这么说
[41:59-42:00] 他俩都给忘了
[42:01-42:02] 既然他们都忘了
[42:02-42:03] 咱俩也忘了吧
[42:03-42:04] 当方之前
[42:04-42:05] 再看一遍视频
[42:05-42:06] 看一遍就删
[42:06-42:08] 开始了 开始了
[42:08-42:09] 来了
[42:09-42:12] 我们离婚了
[42:12-42:15] 我们离婚了
[42:16-42:17] 后面那俩人干吗呢
[42:17-42:18] 快点
[42:19-42:20] 过来
[42:20-42:21] 正好
[42:21-42:22] 咱们把你刚才说的小话
[42:22-42:23] 再说一遍吧
[42:23-42:24] 我说
[42:24-42:25] 如果以后
[42:25-42:26] 我们俩不在一起了
[42:26-42:28] 你们必须来请婚
[42:31-42:32] 这不是说定了啊
[42:32-42:33] 视频为证
[42:33-42:34] 行
[42:34-42:35] 我肯定会去抢
[42:35-42:37] 谁不亲谁是好
[42:43-42:44] 这个作品是
[42:45-42:46] 哈喽
[42:46-42:47] 场状元
[42:56-42:57] 方哥
[42:58-42:59] 来
[42:59-43:00] 所叔 下班了
[43:01-43:03] 看书呢 天哪
[43:03-43:04] 叔
[43:05-43:06] 今天得到你请客了吧
[43:06-43:07] 我请
[43:07-43:08] 所叔
[43:08-43:09] 小明
[43:09-43:10] 程哥在不在
[43:10-43:11] 开门没呢
[43:11-43:12] 来了 来了
[43:12-43:14] 来 赶紧给我来两个汽水
[43:14-43:15] 汽水啊
[43:15-43:16] 刚挡的
[43:16-43:17] 这刚振的
[43:17-43:18] 感谢啊
[43:18-43:19] 谢啥呀
[43:21-43:22] 光感谢呀
[43:31-43:32] 你干啥呢
[43:32-43:33] 店里来人了
[43:33-43:34] 你咋不张罗呢
[43:34-43:35] 我学习呢
[43:35-43:37] 你高考都结束了
[43:37-43:38] 你学啥习啊
[43:38-43:39] 我看你学啥呢
[43:39-43:40] 妈
[43:40-43:41] 神雕侠侣
[43:42-43:43] 学养婴啊
[43:44-43:46] 不是 哥 我发现我怎么一在家不干活
[43:46-43:48] 你就找啥说我呢
[43:48-43:49] 不是 我说你 老弟
[43:49-43:50] 那高考结束之后
[43:50-43:52] 所有人都在家估分呢
[43:52-43:53] 你咋不估呢
[43:53-43:54] 我估完了
[43:54-43:55] 那你估多少
[43:55-43:56] 我估610
[43:57-43:58] 妈
[44:00-44:02] 那你估得太保守了
[44:03-44:05] 你估1400多好啊
[44:05-44:07] 你给咱小麦练了一年的营业额
[44:07-44:08] 你全估了
[44:09-44:11] 我给那存质员的钱存
[44:11-44:13] 那全存你分里得了吧
[44:13-44:16] 哥 你怎么从来都不为我骄傲呢
[44:16-44:18] 我没为你骄傲过吗 老弟
[44:19-44:20] 那前两年
[44:20-44:22] 你高考考430
[44:22-44:24] 我给咱家里那活物
[44:24-44:26] 除了你老鼠以外我全炖了
[44:26-44:27] 我给你办生血宴
[44:27-44:28] 我给你摆三十多桌
[44:28-44:30] 你再住人家你咋宣布的
[44:30-44:31] 你说我不甘心
[44:31-44:32] 我要复读
[44:32-44:35] 这430就不是我水平啊
[44:35-44:37] 那当然不是你水平了
[44:37-44:39] 第二年你就考300
[44:39-44:41] 那不是你给我做饭吗
[44:41-44:42] 给我整食物中毒了
[44:42-44:43] 凉拌豆角
[44:47-44:50] 我那去年考97分
[44:52-44:54] 我考号填错了
[44:54-44:57] 你考号填错问题咱家分不够了
[44:57-44:58] 老弟啊
[44:58-44:59] 你这97分今年都考没了
[44:59-45:00] 明年咋长
[45:01-45:02] 参加中考啊
[45:03-45:06] 那我考这么多年我也不容易啊
[45:07-45:08] 不容易啊
[45:10-45:12] 咱家啥情况你不知道吗
[45:14-45:15] 咱爸妈走得早
[45:16-45:18] 爸爸年就上散亚了
[45:19-45:20] 我不想上散亚吗
[45:20-45:21] 我东北人
[45:21-45:22] 我穿沙滩裤
[45:22-45:24] 我在海滩我驰骋场
[45:24-45:27] 我这么多年我还一如骨拉着你
[45:27-45:28] 我咋过的
[45:29-45:30] 打麻将啊腾哥
[45:31-45:32] 一会儿的
[45:32-45:33] 你就这么过着吧
[45:33-45:35] 你天天就这么过着
[45:35-45:36] 天方啊
[45:36-45:39] 今儿高考出分没查成绩去啊
[45:39-45:40] 是今天出分吗 走刚
[45:40-45:42] 是今天出吗
[45:42-45:45] 你有啥好惊讶的你没参加啊
[45:46-45:47] 快查查去吧
[45:47-45:49] 这一天天的这俩
[45:49-45:50] 天方啊
[45:50-45:52] 我把你高考成绩炒回来了
[45:52-45:53] 老实了
[45:53-45:54] 邓老师
[45:54-45:55] 你知道我成绩了
[45:55-45:56] 刚从市里回来
[45:56-45:58] 你猜猜你考了多少分
[45:58-45:59] 没事
[45:59-46:00] 多少分啊
[46:01-46:02] 六分啊
[46:02-46:03] 再看
[46:05-46:07] 六十八也不行啊
[46:07-46:09] 加个零 连上 捏
[46:09-46:10] 五
[46:10-46:11] 六百
[46:11-46:12] 八
[46:12-46:13] 六
[46:13-46:14] 六
[46:14-46:15] 二
[46:15-46:16] 二
[46:16-46:17] 二
[46:17-46:18] 二
[46:18-46:19] 二
[46:19-46:20] 二
[46:20-46:21] 二
[46:21-46:22] 二
[46:22-46:23] 二
[46:23-46:24] 二
[46:24-46:25] 二
[46:25-46:26] 二
[46:26-46:27] 二
[46:27-46:28] 二
[46:28-46:29] 二
[46:29-46:30] 二
[46:30-46:31] 二
[46:31-46:32] 二
[46:32-46:33] 二
[46:33-46:34] 二
[46:34-46:35] 二
[46:35-46:36] 那我为什么要 settlement
[46:38-46:39] 就因为您 你 낮点 devotally
[46:39-46:40] 就石 opposite
[46:40-46:44] 队 Fahr理
[46:44-46:45] 下ину
[46:45-46:46] 上 intermedi
[46:46-46:47] 次
[46:47-46:48] 是
[46:48-46:49] cyber
[46:49-46:50] 如果能一直通关
[46:52-46:53] 呀
[46:53-46:56] Hai
[46:56-47:00] 你是 되 王 sugar
[47:00-47:03] 叔叔 这街坊四林对咱都挺好
[47:03-47:05] 考这份低调点 别太张扬 听着没有
[47:05-47:08] 放心吧 我就不是那张扬的人
[47:08-47:10] 我最低调的
[47:10-47:12] 这棒棒糖多少钱呢 680
[47:12-47:13] 多少
[47:15-47:16] 我考680
[47:16-47:17] 什么 我考680
[47:17-47:18] 我考680
[47:18-47:20] 我考680
[47:21-47:23] 那逗逗 糖今天免费10号
[47:23-47:24] 咱家有喜事
[47:24-47:27] 不是 那甜饭高考 考了680
[47:27-47:29] 那咋场那么出大状元了嘛
[47:29-47:31] 我从小我说啥来着
[47:31-47:33] 天放那就是个人才
[47:33-47:36] 爸爸 你不是说天放哥哥是大傻子
[47:36-47:38] 肯定考不上吗
[47:39-47:40] 我说过吗
[47:40-47:42] 你说你了解天放哥哥
[47:42-47:44] 就像史克朗了解大粪
[47:45-47:46] 这我说过嘛
[47:46-47:47] 你看你这一句一句
[47:47-47:49] 你说没说过你自己心里没数吗
[47:49-47:50] 你问谁呢
[47:50-47:52] 说多了 你听我心里去啊
[47:52-47:53] 我爸他还说了
[47:53-47:54] 逗逗啊 不说了
[47:54-47:55] 带你爸回家回忆吧
[47:55-47:57] 我要破房了
[47:58-47:59] 你去啊 说多了
[47:59-48:02] 那他要还说啥我再跟你说
[48:02-48:04] 好孩子 再拿一根来
[48:05-48:08] 错了 错了 全错了
[48:08-48:09] 不是你喘口气
[48:09-48:11] 邓老师啥玩意儿错了
[48:11-48:14] 糖啊 我对不起天放
[48:14-48:15] 我更对不起你
[48:16-48:18] 邓老师 我一再强调
[48:18-48:21] 我上不了大学跟你没有任何关系
[48:21-48:23] 天放你培养得很好
[48:23-48:25] 好傻呀
[48:25-48:28] 我把天放的高考成绩抄错了
[48:28-48:30] 什么让你抄错了 能考多少分啊
[48:30-48:32] 天放考的不是680
[48:32-48:33] 那多少
[48:33-48:35] 180
[48:35-48:37] 你看你这数学老师你教三十多年
[48:37-48:39] 你这百亿内的你算不明白你
[48:39-48:41] 你抄的啥玩意儿你这是
[48:41-48:43] 那我抄分抄得眼睛都花了
[48:43-48:44] 你眼睛花现在咋整啊
[48:44-48:46] 天放人哪 抓紧时间找到个高考
[48:46-48:47] 我哪知道 我刚才你一说完
[48:47-48:49] 他像飞机起飞了似的就走了
[48:50-48:52] 我考680
[48:52-48:53] 老弟啊
[48:53-48:54] 你这是
[48:54-48:55] 我考680
[48:55-48:56] 在这呢 在这呢
[48:56-48:57] 老弟啊 你听过
[48:57-48:58] 天放啊
[48:58-48:59] 天放啊
[48:59-49:00] 你听过你不是
[49:00-49:01] 快来 咋的
[49:03-49:05] 老弟啊 别扫楼了
[49:06-49:07] 周思 你赶紧拦着他
[49:07-49:09] 告诉他这咋回事啊
[49:09-49:10] 我告诉他咋回事
[49:10-49:12] 他不得疯吗 你看他这状态
[49:12-49:13] 明天说吧
[49:13-49:14] 咱都低调点 邓老师
[49:14-49:16] 这事儿千万不能再让任何人知道了
[49:16-49:17] 低调 低调
[49:17-49:18] 你让天放爷得低调点
[49:18-49:19] 咱都得低调这
[49:20-49:21] 喂喂喂
[49:21-49:22] 我是房警官
[49:22-49:23] 我是房警官
[49:23-49:24] 我是房警官
[49:24-49:26] 全场老少爷们注意了
[49:26-49:27] 我宣布个事儿啊
[49:27-49:30] 我高考考680
[49:30-49:32] 选完了
[49:32-49:33] 一会儿没啥事儿
