[00:00-00:01] 八十一难
[24:43-24:44] 兄弟小心
[24:44-24:45] 我好险啊
[24:45-24:47] 这是冲我来的吗
[24:48-24:50] 这是花容将军发的信息啊
[24:50-24:51] 这上面写的是
[24:51-24:52] 在吗
[24:52-24:53] 问这干啥呀
[24:53-24:54] 兄弟小心
[24:54-24:55] 哎呀
[24:55-24:57] 就是冲我来的嘛
[24:57-24:58] 这上面写的是
[24:58-25:00] 让十千还我钱袋
[25:00-25:01] 撒
[25:01-25:01] 不好意思啊哥
[25:01-25:02] 撒
[25:02-25:03] 兄弟小心
[25:04-25:04] 撒
[25:05-25:06] 剑呢
[25:06-25:07] 没看见
[25:07-25:08] 这呢
[25:09-25:11] 操船借剑呢
[25:12-25:13] 二狗
[25:13-25:15] 你敢袭击御族
[25:15-25:16] 我没有啊
[25:16-25:17] 我连个弓都没有
[25:17-25:19] 所以用手里剑呢
[25:19-25:20] 刺刺剑
[25:20-25:21] 刺
[25:28-25:29] 行期加一年
[25:29-25:30] 狗官
[25:31-25:32] 不要为难素人
[25:34-25:36] 哎
[25:36-25:38] 这怎么多一个人啊
[25:38-25:39] 你谁啊
[25:39-25:40] 行不更名
[25:40-25:40] 做不改姓
[25:40-25:42] 老子梁山坡
[25:43-25:44] 多一个多一个吧
[25:44-25:45] 没少就行
[25:45-25:46] 哎
[25:46-25:47] 你给我出去
[25:47-25:48] 哎呀
[25:48-25:48] 带我出去
[25:48-25:49] 完了
[25:49-25:50] 我就饶个命
[25:50-25:51] 我待一天
[25:51-25:52] 我现在待一年了
[25:52-25:53] 别喊哪热狗
[25:53-25:54] 二狗
[25:55-25:56] 一天也好
[25:56-25:57] 一年也罢
[25:57-25:59] 咱们今天肯定是要出去的呀
[25:59-26:00] 咋出去啊
[26:00-26:01] 这区区的牢房
[26:01-26:03] 还能困得住我
[26:03-26:04] 我用轻功出去
[26:04-26:06] 拿完钥匙再回来救你们嘛
[26:06-26:07] 等等
[26:07-26:07] 怎么了
[26:07-26:08] 有情况
[26:10-26:11] 不好
[26:11-26:12] 我被卡住了
[26:12-26:13] 哎呀
[26:13-26:14] 我这不白了吗
[26:14-26:15] 别别别
[26:15-26:17] 你是五松
[26:18-26:20] 杂虎英雄五松
[26:20-26:20] 他要是这样
[26:20-26:21] 进去抓了吗
[26:21-26:22] 进去
[26:23-26:23] 这
[26:24-26:24] 进去
[26:26-26:27] 老实点啊
[26:28-26:29] 你这人真是超野蛮的
[26:31-26:33] 这五松跟我想的太不一样了
[26:33-26:34] 五松兄弟
[26:34-26:34] 宋江哥哥
[26:34-26:35] 五松哥哥
[26:35-26:36] 还给我吧
[26:36-26:37] 不好意思哥
[26:37-26:38] 啥时候偷的呀
[26:39-26:41] 五松兄弟一定是为了救我们
[26:41-26:43] 故意被抓进来的吧
[26:44-26:45] 不是啊
[26:45-26:48] 我前段时间不是喝醉酒打死只老虎吗
[26:48-26:49] 打死老虎是要坐牢的吗
[26:49-26:50] 没有
[26:50-26:51] 我回来路上酒驾了
[26:53-26:55] 这爽朗个啥呢
[26:55-26:56] 这位朋友是
[26:56-26:56] 哎
[26:56-26:57] 我来给你介绍一下
[26:57-26:59] 这是咱们梁山第109位好汉
[26:59-27:01] 细狗
[27:01-27:02] 二狗
[27:02-27:03] 朋友放心了
[27:03-27:04] 我一定会带你们出去的
[27:04-27:05] 哎呀你拉倒了
[27:05-27:07] 你自己都被靠住了
[27:07-27:09] 这种东西怎么可能难得住我行者五松啊
[27:09-27:10] 稍微盪一下好了
[27:10-27:11] 好
[27:14-27:15] 救命百破
[27:15-27:16] 行不行啊
[27:17-27:18] 你不知道啊
[27:18-27:20] 我五松是喝醉酒打死的老虎
[27:20-27:21] 喝醉酒杀的西门庆
[27:21-27:22] 喝醉酒打的蒋门神
[27:22-27:23] 这说明什么
[27:23-27:23] 哦
[27:23-27:24] 你酒品超差
[27:26-27:27] 是我喝酒才会变强啊
[27:27-27:27] 哎呀
[27:27-27:28] 五松兄弟
[27:28-27:30] 这牢饭里恰好有一碗茅台啊
[27:30-27:31] 谢哥哥
[27:33-27:35] 来这里
[27:36-27:37] 太强了吧
[27:38-27:40] 就是69
[27:40-27:42] 越喝越年轻
[27:42-27:44] 喝完酒口音都变了吗
[27:44-27:46] 这区区的老妹
[27:47-27:48] 酒精过了
[27:48-27:49] 行酒这么快啊
[27:50-27:51] 又来这里
[27:53-27:54] 就是69
[27:54-27:55] 越喝越年轻
[27:55-27:57] 行更快了呀
[27:57-27:58] 那你扔它干啥呀
[27:59-28:00] 就是69
[28:00-28:01] 直接来吧
[28:01-28:01] 哎呀
[28:02-28:02] 哎
[28:03-28:04] 哎
[28:04-28:05] 来兄弟
[28:05-28:06] 你先走
[28:06-28:06] 你先走
[28:06-28:07] 你先走
[28:07-28:08] 哎
[28:08-28:09] 我先走
[28:09-28:09] 我不能走
[28:09-28:10] 我不能坚持
[28:10-28:11] 坚持不住了
[28:13-28:14] 太好了
[28:14-28:15] 你越狱成功了
[28:16-28:17] 放我进去啊
[28:17-28:18] 不用管我们
[28:18-28:18] 快走
[28:18-28:19] 白头写信
[28:19-28:20] 常联系
[28:20-28:21] 不行
[28:21-28:22] 让狱族发现我在外边
[28:22-28:23] 我就完了
[28:23-28:24] 我完了我
[28:25-28:27] 二狗
[28:27-28:28] 你提反施
[28:28-28:30] 袭击狱族越狱
[28:30-28:32] 甚至还吹索纳扰民
[28:32-28:33] 吹索纳最严重吗
[28:34-28:35] 你最大恶疾
[28:35-28:36] 我现在上报大理寺
[28:36-28:37] 你死罪
[28:37-28:37] 哎
[28:37-28:38] 我进去
[28:38-28:38] 不是
[28:38-28:39] 这咋亮的行啊
[28:39-28:40] 这是
[28:40-28:41] 别难过啊
[28:41-28:43] 死刑也有好处的
[28:43-28:44] 断头饭很丰盛的
[28:45-28:47] 来给二号犯人上个火锅
[28:47-28:48] 这对啥说话呢
[28:49-28:50] 哎
[28:51-28:53] 兄弟
[28:53-28:54] 不用担心
[28:54-28:56] 担心倒是不担心了
[28:56-28:57] 求你带我出去啊
[28:57-28:58] 这是怎么想通的呀
[28:58-28:59] 很难想不通啊
[28:59-29:00] 想不通死在这儿了
[29:01-29:01] 三位
[29:01-29:03] 有没有什么新的越狱计划呀
[29:03-29:04] 放心好了
[29:04-29:06] 兄弟们已经在几里地之外
[29:06-29:07] 埋伏好了
[29:07-29:08] 只要一炷香的时间
[29:08-29:10] 我们又救哥哥们出去
[29:10-29:11] 到时候我们提前安排好的
[29:11-29:12] 那个索纳斯
[29:12-29:14] 就会吹响索纳
[29:14-29:15] 索纳一响
[29:15-29:17] 全军出击
[29:17-29:19] 特意嘱咐他要加紧练习
[29:24-29:26] 你说那个索纳斯
[29:27-29:28] 他有没有可能
[29:28-29:30] 因为努力练习扰民
[29:30-29:32] 让人家抓起来了呢
[29:36-29:37] 这不完了吗
[29:37-29:38] 这不完了吗
[29:38-29:39] 我们公德魅
[29:39-29:40] 咋有扰民啊
[29:40-29:42] 努力还有错了
[29:48-29:49] 怎么玩酒啊
[29:49-29:50] 没酒啊
[29:50-29:51] 这咋整啊这个
[29:51-29:52] 高台魅
[29:52-29:53] 这就是高台魅吗
[29:53-29:55] 看着太年轻了
[29:55-29:57] 高台魅迟到
[29:57-29:58] 您不是高台魅
[29:58-29:59] 我不是啊
[29:59-30:00] 那你就是
[30:00-30:01] 我是使官
[30:01-30:04] 负责记录高台魅的一言一行
[30:04-30:05] 截止到这一刻
[30:05-30:07] 高台魅已经迟到了
[30:09-30:11] 1分42秒597
[30:14-30:16] 打破了个人迟到的
[30:16-30:17] 最后一分
[30:17-30:18] 最后一分
[30:18-30:19] 最后一分
[30:20-30:22] 打破了个人迟到的
[30:22-30:23] 最佳成绩
[30:24-30:25] 这是个啥呀
[30:25-30:26] 不是 是个秒表
[30:26-30:27] 秒表是啥
[30:27-30:28] 高台魅到
[30:28-30:29] 高台魅
[30:35-30:36] 大胆
[30:36-30:38] 还不下跪
[30:39-30:41] 不是让你跪
[30:42-30:43] 色黄色红挂了
[30:44-30:48] 高台魅在大楼给宋经下跪
[30:50-30:51] 不是 你谁啊你
[30:51-30:53] 我是新来的使官
[30:53-30:54] 好
[30:54-30:56] 那我说你记
[30:56-30:57] 好嘞
[30:57-30:59] 大胆宋将
[30:59-31:00] 见了本官
[31:00-31:02] 因何不跪
[31:04-31:07] 宋将打心眼里瞧不起高台魅
[31:13-31:16] 提携反施按律当斩
[31:16-31:17] 哼
[31:17-31:20] 宋将骂了一声狗官
[31:23-31:24] 你信不信
[31:24-31:27] 我只要动一个小手之道
[31:27-31:28] 即刻荡平梁山
[31:28-31:30] 片假不留
[31:32-31:34] 高雄催了个牛
[31:35-31:36] 把你使过来先给我斩了呗
[31:41-31:43] 你斩不了我
[31:43-31:45] 我有块金牌
[31:45-31:47] 你有啥金牌我斩不了你
[31:47-31:49] 免死金牌
[31:51-31:52] 不
[31:53-31:54] 来给老师搬一座
[31:54-31:55] 搬一座
[31:55-31:56] 来 老师您坐着
[31:56-31:57] 您坐着
[31:57-31:59] 但不知这金牌是怎么来的
[31:59-32:01] 我要想要拿块金牌
[32:01-32:03] 那不还是手拿把签的
[32:03-32:04] 好
[32:05-32:07] 免死金牌
[32:07-32:08] 哥哥放心
[32:08-32:09] 以小弟的身手
[32:09-32:10] 只要趁他一拐弯的时候
[32:10-32:12] 你扒了金牌就到手了
[32:13-32:14] 我们怎么能用
[32:14-32:16] 如此吓死三滥的方式拿金牌呢
[32:19-32:21] 提携反尸
[32:21-32:23] 就是死罪
[32:23-32:24] 但是皇上
[32:24-32:26] 有意收编了你们这些
[32:26-32:27] 梁山的反贼
[32:27-32:29] 去剿灭别的山的反贼
[32:29-32:31] 所以这个人
[32:31-32:34] 就是我给你找的替身
[32:34-32:34] 我
[32:34-32:36] 没错 就是你
[32:36-32:37] 住手
[32:37-32:38] 他的命我今天保定了
[32:38-32:40] 我唐山的
[32:40-32:41] 我山东的
[32:42-32:43] 我东北的
[32:43-32:43] 你是东北的
[32:43-32:44] 你听着我的话
[32:44-32:45] 你回
[32:45-32:46] 你回了你坐下
[32:48-32:50] 你要是听我的话
[32:50-32:52] 就即刻滚回梁山
[32:52-32:54] 否则的话
[32:54-32:56] 我就按着这水壶卡
[32:56-33:00] 一张一张的把你们都杀了
[33:00-33:01] 是保一个
[33:01-33:04] 还是保108个
[33:04-33:05] 这个道理
[33:05-33:08] 我说得再明白不过了吧
[33:08-33:09] 大人
[33:09-33:10] 搞错了吧 大人
[33:10-33:11] 我不是宋将
[33:11-33:13] 我就吹了个锁呢
[33:13-33:14] 我明天我就放了
[33:14-33:15] 你
[33:15-33:17] 对不住了
[33:17-33:18] 二狗兄弟
[33:23-33:25] 这时候叫对名字有啥用啊
[33:25-33:26] 来人
[33:26-33:27] 在
[33:27-33:28] 此时三刻已到
[33:28-33:33] 将贼手宋将就地斩首
[33:33-33:34] 我是二狗
[33:34-33:35] 我不是宋将
[33:35-33:36] 即时与宋将
[33:36-33:38] 御麒麟卢晋义
[33:38-33:40] 梁山两大贼手
[33:40-33:41] 即时与以死
[33:41-33:44] 下一个就是御麒麟
[33:44-33:45] 哎
[33:45-33:46] 为啥不抓御麒麟呢
[33:46-33:48] 我不是遇不着麒麟吗
[33:48-33:49] 麒麟就跟那俩在一块
[33:49-33:51] 要不大家丢在监狱里干嘛
[33:57-33:58] 这掩饰就别记了这
[34:02-34:04] 此时三刻已到
[34:04-34:06] 斩首
[34:06-34:08] 刀下留燃
[34:08-34:08] 哎呦
[34:10-34:13] 好俗的套路啊
[34:16-34:18] 你们怎么又回来了
[34:18-34:19] 二狗兄弟
[34:19-34:21] 我们回来救你来了
[34:21-34:23] 让你们走啥呀
[34:24-34:25] 就是料是情
[34:25-34:28] 越喝越念情
[34:29-34:30] 时差兄弟
[34:30-34:31] 得手了吗
[34:31-34:31] 拿着
[34:33-34:35] 我们答应过你
[34:35-34:37] 今天一定会带你出去
[34:37-34:38] 没道理啊
[34:39-34:41] 兄弟不讲道理
[34:41-34:42] 讲义气
[34:43-34:45] 梁山好汉
[34:45-34:47] 即时与宋江在此
[34:47-34:49] 姓焯过俗在此
[34:49-34:51] 胡少队师天在此
[34:53-34:55] 小喇叭二狗
[34:55-34:56] 在此
[35:01-35:04] 裴旋风李魁在此
[35:04-35:07] 李仗杰胡三梁在此
[35:07-35:10] 曹汉各刘欢在此
[35:10-35:11] 都还给啊
[35:18-35:19] 兄弟们
[35:19-35:22] 咱们今天就替天行道
[35:22-35:24] 堪死高雄这个老贼
[35:24-35:26] 救命
[35:34-35:35] 加油
[35:45-35:46] 下一个作品是
[35:46-35:48] 心动的信号
[36:01-36:02] 医生
[36:03-36:04] 你怎么扫雷呢
[36:05-36:06] 听仨点了
[36:06-36:07] 我父亲到底怎么样啊
[36:09-36:11] 二当家
[36:11-36:12] 我估计
[36:12-36:13] 老当家今天晚上
[36:13-36:14] 就要走了
[36:16-36:17] 你的意思是
[36:17-36:19] 他今晚就能下床走了
[36:20-36:22] 我说他熬不过今晚了
[36:22-36:23] 那早点睡别熬夜呢
[36:23-36:24] 二当家
[36:24-36:26] 我能跟大当家聊聊吗
[36:27-36:27] 大哥
[36:28-36:29] 大当家
[36:29-36:31] 趁着老当家还能听得见
[36:31-36:33] 想说点什么就赶紧说吧
[36:33-36:34] 医生
[36:34-36:35] 我就最后一个问题
[36:35-36:36] 把我弟弟脑子卷了
[36:36-36:37] 大概什么流程
[36:38-36:39] 卷点他咬的东西吧
[36:42-36:44] 老二
[36:44-36:44] 咱爸的事
[36:44-36:46] 都跟老三说了吗
[36:46-36:46] 通知他了
[36:46-36:47] 已经往回赶了
[36:47-36:50] 算他还有点孝心啊
[36:50-36:50] 爸
[36:50-36:52] 听见了吗
[36:52-36:53] 老三离家出走
[36:53-36:54] 终于要回来了
[36:54-36:55] 你放心
[36:55-36:56] 只要他回来
[36:56-36:58] 我一定让他遵照你的愿望
[36:58-36:59] 继承咱们希西里里家族
[37:02-37:03] 至于老二
[37:03-37:05] 智力上是有点缺陷
[37:05-37:05] 大哥
[37:05-37:07] 喝咖啡吗
[37:07-37:08] 缺陷很大
[37:09-37:11] 但我一定会照顾好他的
[37:11-37:12] 老二
[37:12-37:13] 你跟爸说两句吧
[37:14-37:15] 爸
[37:15-37:16] 你喝啥
[37:17-37:18] 老二
[37:18-37:19] 你个大傻
[37:20-37:22] 爸
[37:22-37:25] 你这是走了还是给脏话消音啊
[37:26-37:27] 老二
[37:27-37:28] 爸走了
[37:29-37:31] 大哥
[37:31-37:32] 爸的后事就交给我来办吧
[37:35-37:36] 交给你
[37:36-37:38] 我有点害怕呀
[37:38-37:40] 可我也想借一份孝心啊
[37:41-37:43] 算我求你了
[37:43-37:44] 大哥
[37:44-37:45] 你这是干什么呀
[37:45-37:47] 你为这个家族已经付出了太多了
[37:47-37:49] 嫂子跟你离婚咱爸都不知道
[37:52-37:54] 咱爸是不是心跳了
[37:54-37:56] 医生
[37:56-37:57] 听错了
[37:57-37:59] 还是没来得及把你离婚的事告诉爸
[38:01-38:02] 老二
[38:02-38:03] 你把刚才那话再说一遍
[38:03-38:04] 爸
[38:04-38:05] 你喝啥
[38:05-38:06] 从哪儿说呀
[38:07-38:08] 爸
[38:08-38:09] 我离婚了
[38:10-38:11] 我离了半年多了
[38:12-38:14] 孩子叛给嫂子了
[38:14-38:15] 嫂子叛给别人了
[38:15-38:16] 你滚一边去
[38:18-38:19] 但我好像知道怎么留住爸了
[38:19-38:21] 我也知道了
[38:21-38:22] 律师
[38:22-38:23] 爸我也叛给别人吧
[38:23-38:24] 你咋理解的
[38:25-38:26] 我手机干嘛
[38:26-38:28] 你现在赶紧跟咱爸说坏消息
[38:28-38:30] 你说了他多担心啊
[38:30-38:32] 就是让咱爸担心没准能留住他
[38:33-38:34] 爸
[38:34-38:35] 我手机被大哥甩了
[38:35-38:37] 这坏消息也太小了
[38:38-38:39] 小儿龄
[38:41-38:42] 爸
[38:42-38:44] 我发现咱们家族里有毒蛇帮的卧底
[38:46-38:47] 卧底不是被逮出来了吗
[38:48-38:51] 发现逮着那个不是卧底
[38:51-38:52] 因为根本就没有卧底
[38:55-38:56] 老二
[38:56-38:59] 我有时候甚至怀疑
[38:59-39:00] 你是卧底
[39:02-39:03] 没错
[39:04-39:05] 你是卧格呀
[39:05-39:07] 你这时候说啥老家话
[39:07-39:08] 现在官兵有气势了
[39:14-39:15] 那个辛秋
[39:15-39:16] 你别废话了
[39:16-39:17] 你
[39:17-39:18] 你这样
[39:18-39:19] 你再跟咱爸说点坏消息
[39:19-39:20] 没准他能醒过来
[39:20-39:22] 我没坏消息了
[39:22-39:23] 我的人生如鱼得水
[39:25-39:27] 我也没坏消息了
[39:27-39:29] 大哥你有
[39:29-39:30] 你儿子不被学校开除了吗
[39:30-39:31] 啥
[39:33-39:33] 因啥
[39:33-39:35] 他在艺术学院打架
[39:35-39:35] 老师就
[39:35-39:36] 你等一下
[39:37-39:38] 我儿子跟我说
[39:38-39:40] 他在米兰大学读金融
[39:40-39:42] 没有
[39:42-39:44] 你儿子一直是在艺术学院当的保安
[39:44-39:46] 啥时候当的保安
[39:46-39:48] 他服刑放出来就当的保安
[39:49-39:51] 还坐过牢
[39:52-39:53] 爸活了
[39:53-39:54] 我没了
[39:55-39:56] 大哥
[39:56-39:58] 那
[39:58-39:59] 保大还是保小
[40:04-40:05] 大哥
[40:06-40:08] 我稍微给你说点好消息吧
[40:08-40:09] 我发现
[40:09-40:11] 美团团购好划算
[40:12-40:14] 这时候你怎么能跟爸说
[40:14-40:15] 这么好的好消息呢
[40:16-40:17] 老二我跟你说
[40:17-40:18] 从现在开始这个屋里
[40:18-40:21] 不允许出现任何好消息
[40:21-40:21] 大当家
[40:21-40:22] 好消息
[40:27-40:28] 老二
[40:28-40:28] 你再想想看
[40:28-40:29] 还有没有什么坏消息了
[40:29-40:31] 没坏消息了
[40:31-40:33] 我知道了
[40:33-40:34] 等老三回来
[40:34-40:36] 这小子绝对能把咱爸气活了
[40:36-40:37] 你赶紧给他打个电话
[40:37-40:38] 你问问他到哪了
[40:38-40:39] 现在想去打电话
[40:39-40:40] 你烧我手机的时候呢
[40:40-40:41] 你这废
[40:42-40:43] 大哥
[40:44-40:45] 我回来了
[40:45-40:46] 老三
[40:48-40:49] 二哥
[40:49-40:50] 老三
[40:50-40:50] 喝咖啡吗
[40:50-40:51] 你给我起来吧你
[40:53-40:54] 老三
[40:54-40:54] 大哥
[40:54-40:55] 回来了
[40:56-40:57] 你这
[40:57-40:59] 这些年过得一言难尽
[40:59-41:01] 那就好啊
[41:01-41:02] 快跟爸讲讲
[41:05-41:06] 爸
[41:06-41:08] 我听说大哥儿子被学校开除了
[41:08-41:09] 说你自己事
[41:11-41:12] 爸
[41:12-41:14] 我其实到现在也不明白
[41:14-41:15] 您为什么
[41:15-41:17] 非让我继承西西李李家族
[41:17-41:20] 我是有自己的艺术梦想的
[41:20-41:21] 离家出走之后
[41:21-41:22] 我先是开了一间
[41:22-41:24] 属于自己的艺术剧院
[41:24-41:25] 结果赔了200万
[41:26-41:27] 太好了
[41:27-41:29] 后来把剧院改成赌场挣回来了
[41:29-41:30] 哎老三
[41:30-41:31] 再后来
[41:31-41:32] 我又开了一间艺术学校
[41:32-41:33] 结果赔了500万
[41:34-41:35] 改成赌场挣回来了
[41:35-41:36] 哎老三
[41:37-41:38] 后来
[41:38-41:40] 我就直接干了一间赌场
[41:40-41:41] 结果赔了一个亿
[41:42-41:43] 我改了个亿考班挣回来了
[41:43-41:45] 亿考班这么挣钱吗
[41:47-41:48] 大哥
[41:48-41:48] 你瞧
[41:48-41:49] 老三
[41:49-41:49] 老三别说了
[41:51-41:52] 老三是这样啊
[41:52-41:53] 怎么了大哥
[41:53-41:54] 咱爸呢
[41:54-41:55] 现在经不起你这些消息
[41:55-41:56] 这样
[41:56-41:57] 你想说什么
[41:57-41:58] 你先跟我说
[41:58-42:00] 我判断判断能不能跟爸说
[42:00-42:01] 哦
[42:01-42:02] 好啊大哥
[42:02-42:03] 那你后面过的
[42:03-42:05] 肯定没有前面这么顺了吧
[42:05-42:06] 那肯定的
[42:06-42:07] 后来
[42:07-42:09] 自从我建立了自己的国家之后
[42:09-42:09] 我觉得好多了
[42:09-42:10] 你等我一下
[42:12-42:16] 老三你说你建立了自己的国家
[42:16-42:17] 大哥
[42:17-42:18] 这是我们国家的货币
[42:19-42:21] 这一百块钱上面印的是你
[42:23-42:24] 七块钱印的是你
[42:25-42:27] 你们国家为啥有七块钱呢
[42:28-42:30] 我们国家从一到一百块都有
[42:30-42:31] 为啥呀
[42:31-42:33] 省得找钱啊
[42:33-42:33] 怪呀
[42:33-42:34] 你们国家真怪呀
[42:34-42:35] 你们国家呀
[42:35-42:36] 当然是啥呀大哥
[42:36-42:38] Los P
[42:39-42:39] Fumaki
[42:39-42:41] 哎呦我
[42:41-42:42] 啥东西
[42:42-42:43] 大哥
[42:43-42:44] 这是我夫人
[42:45-42:46] 这是弟妹
[42:46-42:47] 弟妹
[42:47-42:48] 她不喝咖啡
[42:50-42:51] 给你介绍一下
[42:51-42:52] 我大哥
[42:52-42:53] 我二哥
[42:53-42:53] 阿瑟迪
[42:53-42:54] 阿瑟斗
[42:54-42:55] 阿瑟达卡迪加斗
[42:59-42:59] 老三
[43:01-43:04] 你们国家人说话这么忐忑吗
[43:04-43:05] 有吗
[43:06-43:07] 你说说你
[43:07-43:09] 现在事业有成
[43:09-43:11] 婚姻没满
[43:11-43:13] 咱爸咋整个咋都还
[43:13-43:14] 家家有本难念的经
[43:14-43:15] 就是孩子不争气
[43:16-43:18] 从小就不学无术
[43:18-43:21] 现在只能在米兰大学学金融
[43:23-43:24] 这我能跟爸说吗
[43:24-43:25] 这最好也别跟我说
[43:26-43:27] 大哥
[43:28-43:29] 你不是说老三回来能救爸吗
[43:29-43:30] 他怎么一帆风顺的
[43:30-43:31] 谁能想到这小子
[43:31-43:33] 自己还整出个国家呀
[43:33-43:34] 他现在能有啥坏消息
[43:34-43:35] 夫君
[43:35-43:38] 我最爱的
[43:38-43:40] 卡比达
[43:40-43:40] 老三
[43:40-43:41] 这咋了
[43:41-43:42] 大哥
[43:43-43:44] 我们的国家
[43:45-43:47] 深奥成功了
[43:47-43:49] 深奥
[43:49-43:50] 深奥
[43:52-43:52] 阿瑟
[43:52-43:53] 阿瑟
[43:53-43:54] 阿瑟
[43:54-43:55] 奥林匹克
[43:57-43:59] 爸
[43:59-44:00] 说坏消息
[44:00-44:01] 为什么说坏消息
[44:01-44:03] 咱爸现在是只要一说坏消息
[44:03-44:04] 先就跳
[44:04-44:05] 说好消息先就不跳
[44:05-44:06] 不是科学吗这
[44:06-44:07] 你小时候不是一变脸
[44:07-44:08] 爸就揍你吗
[44:08-44:09] 你给他变个脸
[44:09-44:10] 给你演一个 快演一个
[44:10-44:11] 随便变一个
[44:13-44:15] 你看 好不好玩
[44:15-44:16] 再来点别的坏消息 快
[44:16-44:17] 没了
[44:18-44:18] 怎么可能
[44:18-44:20] 离家出走这么多年没坏消息
[44:20-44:21] 每天过得就那么开心
[44:21-44:22] 当然了
[44:22-44:24] 因为这些年我远离了我的原生家庭呢
[44:26-44:26] 这样这样
[44:27-44:28] 没坏消息
[44:28-44:30] 咱哥仨想想看能不能制造点坏消息
[44:30-44:31] 好 我试试
[44:31-44:32] 我的国家能不能发动战争
[44:32-44:33] 你回来
[44:34-44:34] 老三
[44:35-44:36] 你们国家还得办奥运会呢
[44:37-44:38] 你别拦着呀 那咋办呢
[44:39-44:40] 咋办 咋办
[44:40-44:41] 一天天就着问咋办
[44:42-44:43] 老猴干啥呀
[44:45-44:46] 跟你说你也不懂
[44:46-44:47] 老三
[44:47-44:47] 大哥我在呢
[44:47-44:49] 你说你这些年追求艺术理想
[44:49-44:50] 离家出走
[44:50-44:51] 最后爸还要把家族交给你
[44:51-44:52] 你记成这公平吗
[44:54-44:55] 你明白我在干什么吧
[44:55-44:56] 我明白
[44:56-44:57] 你嫉妒我
[45:00-45:01] 老三
[45:01-45:03] 大哥也嫉妒我
[45:05-45:06] 大哥这些年
[45:08-45:09] 一直这么焦虑
[45:09-45:11] 情绪一直不稳定
[45:11-45:12] 老抽我喊
[45:12-45:13] 动不动摔我手机
[45:13-45:14] 家里有点什么大事
[45:14-45:16] 根本指望不上他
[45:16-45:17] 辛苦你了 二哥
[45:17-45:17] 还得靠咱俩
[45:18-45:20] 可咱俩没坏消息
[45:20-45:21] 咱俩是人生赢家呀
[45:22-45:23] 哎
[45:24-45:26] 算了 想救爸
[45:26-45:27] 只有这一个办法了
[45:27-45:28] 干什么
[45:28-45:30] 怎么又离家出走了
[45:30-45:31] 大哥
[45:31-45:32] 别叫我大哥
[45:32-45:34] 从今天起你是我二哥
[45:34-45:35] 你在说啥呢
[45:35-45:35] 大弟
[45:35-45:36] 你
[45:36-45:37] 走了
[45:37-45:39] 毒蛇帮的人打过来了
[45:41-45:42] 你藏
[45:42-45:43] 我怕有反应
[45:44-45:45] 果然啊
[45:46-45:47] 对咱爸来说
[45:47-45:49] 毒蛇帮就是最大的坏消息了
[45:49-45:51] 两位小少爷
[45:52-45:55] 好久不见
[46:00-46:02] 那哪来撒水车呀
[46:02-46:03] 爸 你不用给他配乐
[46:05-46:07] 我听说西西里里家族
[46:07-46:09] 这个老东西要完蛋了
[46:09-46:11] 我来给他送薯花
[46:15-46:16] 坤叔
[46:17-46:19] 以您老人家在江湖上的地位
[46:19-46:21] 这个时候趁虚而入
[46:21-46:22] 不体面吧
[46:23-46:26] 我跟这个老东西斗了一辈子
[46:26-46:28] 我今天就是要亲耳
[46:28-46:31] 听到他心跳停止的声音
[46:33-46:34] 什么情况
[46:35-46:37] 坤叔 没想到吧
[46:37-46:38] 我爸根本就没死
[46:38-46:40] 既然今天你来了
[46:40-46:41] 那我们就要瓮中捉鞭
[46:41-46:42] 对
[46:42-46:43] 我们就是要瓮中缝鞭
[46:45-46:47] 那就看看咱俩谁是谁的鞭
[46:47-46:48] 我来的路上
[46:48-46:50] 已经把罗马街控制住了
[46:51-46:52] 谢谢坤叔
[46:54-46:56] 我还抢了你们五个赌场
[46:56-46:57] 坤叔
[46:57-46:58] 坐一说 来
[46:58-46:58] 坐一说
[46:59-47:01] 我还抢了你们三个码头呢
[47:01-47:02] 老二 点杯咖啡
[47:03-47:04] 我还抢 我不抢了
[47:04-47:05] 你又别了是不是
[47:05-47:06] 拿我抢抢
[47:06-47:07] 不是 拿着
[47:07-47:08] 拿着吧
[47:09-47:11] 那别怪我给脸要脸了
[47:12-47:14] 我先抢你们KTV
[47:15-47:16] 我再砸你们的工厂
[47:17-47:18] 到你的码头之后
[47:18-47:19] 我应该有炸弹
[47:19-47:20] 快抢抢
[47:20-47:21] 坤叔
[47:21-47:22] 留下点坏消息
[47:22-47:23] 留下点坏消息
[47:23-47:25] 咱们这有病是不是
[47:25-47:26] 这病传染不传染
[47:26-47:28] 我也一大把年纪了
[47:28-47:29] 我一进来逼着我
[47:29-47:30] 说坏消息
[47:30-47:30] 这还
[47:33-47:34] 所以你们
[47:38-47:41] 我打算把五个赌场还给你们
[47:42-47:43] 他玩得很快
[47:43-47:44] 快快快
[47:44-47:45] 快快快
[47:45-47:46] 打败
[47:46-47:47] 坤叔
[47:48-47:49] 赌场我们不要
[47:49-47:50] 另外
[47:50-47:52] 我把我们西西里里家族
[47:52-47:53] 所有的公司都给你
[47:53-47:54] 再外加这100块钱现金
[47:54-47:56] 这一看就假币
[47:56-47:57] 我把我们毒蛇帮
[47:57-47:58] 所有的弟兄
[47:58-48:00] 都并入你们西西里里家族
[48:00-48:02] 再送你们个果盘
[48:02-48:03] 我们全都不要
[48:03-48:04] 不是
