[00:00-00:01] 哪里 prze行得来啊
[00:01-00:03] 就看各位哪里来啊
[32:06-32:08] 我只能去剧组跑龙套
[32:08-32:09] 给别人当群演去
[32:12-32:13] 你也挺不容易
[32:13-32:14] 没事
[32:14-32:16] 其实我主要
[32:16-32:17] 跟你没关系是吧
[32:17-32:18] 你这个素人
[32:18-32:19] 我跟你说我今天
[32:19-32:20] 参加一个一年一度亮活大赛
[32:20-32:21] 你知道人家都干嘛吗
[32:21-32:22] 弹吉他
[32:22-32:23] 说饶舌
[32:23-32:24] 跳拉丁舞
[32:24-32:25] 这是胡英青
[32:25-32:26] 你就干这些
[32:26-32:27] 我都不会
[32:27-32:29] 我正会唱戏
[32:29-32:30] 那不腿好吗
[32:31-32:32] 还有吹口哨
[32:34-32:35] 所以说
[32:36-32:37] 这个时候
[32:37-32:39] 你就得牺牲小我
[32:39-32:41] 你才能成就大我
[32:45-32:46] 你这种人
[32:46-32:47] 明白了
[32:48-32:49] 都是我
[32:49-32:50] 让自己变成这样的
[32:53-32:54] 怪我
[32:56-32:58] 怪我心不静
[33:00-33:02] 我就应该一门心思学京剧
[33:02-33:03] 不是
[33:03-33:04] 什么都不想
[33:04-33:05] 不打游戏了
[33:05-33:06] 也不看电影了
[33:06-33:07] 不是这意思
[33:07-33:08] 不打篮球了
[33:08-33:09] 从生活做起
[33:09-33:10] 不得不得
[33:10-33:12] 活在戏里
[33:13-33:14] 不枉我
[33:15-33:16] 不枉我
[33:21-33:23] 我怎么变成了这个样
[33:24-33:26] 我怎么连话也不会说了
[33:26-33:27] 这
[33:29-33:30] 对
[33:30-33:31] 此次以后
[33:31-33:33] 本公之戏的京剧
[33:33-33:35] 别无他念了
[33:35-33:37] 万万不枉我
[33:44-33:45] 听鼓舞
[33:45-33:46] 音乐
[33:46-33:47] 不好
[33:53-33:54] 学个吉他
[33:54-33:55] 不好
[33:55-33:56] 不许
[34:01-34:02] 学钢琴
[34:02-34:03] 不许
[34:03-34:04] 学滑坡
[34:04-34:05] 不好
[34:05-34:06] 架子鼓
[34:06-34:07] 不好
[34:07-34:08] 难团舞
[34:08-34:09] 学一个
[34:09-34:10] 学一个
[34:10-34:11] 学一个
[34:14-34:16] 你会何误会的
[34:16-34:18] 万万不能
[34:19-34:20] 好
[34:21-34:22] 既然如此
[34:24-34:25] 既然如此
[34:26-34:27] 你来看
[34:30-34:31] 萌萌结婚了
[34:34-34:35] 我实话跟你说吧
[34:36-34:38] 萌萌就是因为买不起房子
[34:38-34:39] 才跟别人跑的
[34:40-34:41] 你知道我那个年代房子
[34:41-34:42] 是什么吗
[34:42-34:43] 咱家门口那拉面
[34:43-34:44] 都二十块钱一碗了
[34:44-34:46] 萌萌都跟别人生三胎了
[34:48-34:49] 对你乐啥也不是跟咱的
[34:50-34:51] 她好意思
[34:55-34:56] 我知道
[34:57-34:58] 我知道我跟你说这些
[34:58-34:59] 你可能不会听
[35:00-35:01] 但我都是为了你的以后
[35:03-35:05] 那我要再努力一点
[35:05-35:06] 再勤奋一点呢
[35:06-35:07] 那我以后是不是
[35:07-35:08] 我就是你的以后
[35:09-35:10] 你以后
[35:10-35:11] 你以后就是我这个德行
[35:13-35:14] 至于怎么选择
[35:16-35:17] 吓我一跳
[35:18-35:19] 至于怎么选择
[35:22-35:23] 这是叫我回去的意思
[35:25-35:26] 还挺急
[35:27-35:28] 那我跟你说我先回去了
[35:32-35:33] 你
[35:34-35:35] 你
[35:36-35:37] 你
[35:38-35:39] 你
[35:40-35:41] 我只是希望
[35:43-35:44] 你能过得比我舒服一点
[35:55-35:56] 我咋回不去了呢
[35:57-35:58] 你要不是是下场门
[35:59-36:00] 输价是上场口
[36:00-36:01] 输价是下场口
[36:01-36:02] 行行行
[36:07-36:08] 可以学脱口秀
[36:08-36:09] 十年后特别火
[36:40-36:44] 要NCquad
[36:45-36:47] YANN
[36:47-36:47] 对
[36:48-36:49] 对
[36:49-36:50] 计划计划计划
[36:50-36:51] 兰奥
[36:54-36:55] 她计划计划计划
[36:55-36:57] 计划计划计划计
[36:57-36:58] 计划计划计划
[36:58-37:00] 他们计划计划计划计划计划
[37:00-37:02] 计划计划计计划计划计划
[37:02-37:04] 计划计划计划计划计划划计划计
[37:08-37:09] 你!!
[37:10-37:11] 大家好 我是邓区
[37:40-37:55] 一剑 公之道令剑 不由得本公洗心间 战历公恩们
[37:56-38:05] 一剑 公之道令剑 不由得本公洗心间 战历公恩们
[38:07-38:16] 叫小方
[38:26-38:28] 好
[38:43-38:44] 我觉得不行
[38:44-38:46] 我觉得行
[38:46-38:48] 我真觉得不行
[38:48-38:49] 我真觉得行
[38:49-38:55] 蒙总 蒙姐 我的大制片人 你就给我留条活路吧
[38:55-39:00] 张导 张姨 我的大艺术家 就别执迷不悟了
[39:00-39:04] 不是 姐 你给我塞这几个人 他真不适合演孙悟空
[39:04-39:05] 给我一个理由
[39:05-39:09] 你看这个 这整得也太过分了吧
[39:09-39:10] 人家有刘亮
[39:10-39:12] 那这个 这根本就不是个演员
[39:12-39:14] 人家戴资进组
[39:14-39:17] 这个就太过分了 这也太老了吧
[39:17-39:18] 这是我三舅
[39:18-39:20] 这看着还行
[39:20-39:23] 以前在少林寺待过 那棍耍的才厉害
[39:23-39:27] 不是 姐 最主要是他们不适合演孙悟空
[39:27-39:29] 怎么就不适合呢
[39:29-39:33] 姐 你看 为了孙悟空这部戏 我筹备了多少年
[39:33-39:35] 你让我拍田宠我拍了
[39:35-39:37] 你让我拍霸总我也拍了
[39:37-39:38] 好不容易拍孙悟空了
[39:38-39:42] 你从如来佛到赖蛤蟆精全给塞满了人
[39:42-39:44] 就连肖天选都是你闺蜜的鸡娃娃
[39:44-39:47] 那他鸡娃娃叫得厉害棒棒的
[39:47-39:48] 姐 姐 好
[39:49-39:51] 所以孙悟空这个人选
[39:51-39:53] 我是绝对不能再妥协了
[39:54-39:58] 这三个人都是资方要塞的人
[39:58-40:01] 你随便选一个咱马上就能开机了
[40:01-40:03] 我好不容易拉这投资
[40:03-40:05] 你为啥又跟钱过不去呢
[40:07-40:09] 你看看 资方爸爸又来电话了
[40:09-40:11] 你好好想一想
[40:14-40:17] 人家放的是枇杷曲什么那是古政曲
[40:17-40:19] 叫这谈个破枇杷
[40:21-40:22] 爸爸
[40:25-40:27] 服务员 给我许点水
[40:35-40:36] 导演
[40:39-40:40] 张导
[40:41-40:42] 张一谋导演
[40:45-40:46] 你好
[40:47-40:49] 你是真怂
[40:51-40:52] 不是 你是谁
[40:52-40:54] 我是来帮助你的
[40:54-40:57] 你帮我把水蓄上就行了
[40:57-40:59] 我是来帮你演孙悟空的
[41:00-41:03] 不是 你是谁
[41:03-41:06] 我是这个世界上最适合演孙悟空的人
[41:06-41:07] 别问为什么
[41:07-41:09] 知道的越少越好
[41:09-41:10] 经理
[41:10-41:11] 经理
[41:12-41:13] 怎么了 哥
[41:13-41:14] 你们这服务员怎么回事
[41:14-41:15] 他什么态度
[41:16-41:17] 对不起 哥
[41:17-41:19] 孙小龙
[41:19-41:21] 导演你就让他演吧
[41:21-41:23] 他是最适合演孙悟空的人
[41:24-41:25] 不是 你是不是经理
[41:25-41:27] 是啊 但也是他经纪人
[41:29-41:31] 这不是个饭店吗
[41:31-41:33] 恒电的饭店
[41:33-41:34] 别问
[41:34-41:35] 是这样
[41:35-41:37] 我今天主要就是来吃饭来了
[41:37-41:39] 有什么事咱们回头再说
[41:39-41:40] 好 回头说
[41:41-41:42] 您说
[41:44-41:45] 我有事情要处理
[41:45-41:47] 你们俩不要再给我添乱了好吗
[41:47-41:48] 好 走
[41:53-41:54] 你这人怎么回事
[41:54-41:55] 你这人怎么回事
[41:55-41:56] 你这人怎么回事
[41:56-41:57] 你这人怎么回事
[41:57-41:58] 你这人怎么回事
[41:58-41:59] 你这人怎么回事
[41:59-42:00] 你这人怎么回事
[42:00-42:01] 你这人怎么回事
[42:01-42:02] 出去
[42:02-42:04] 我是让你们出去
[42:04-42:05] 出去
[42:05-42:06] 出去
[42:07-42:09] 好 没问题
[42:09-42:10] 好的
[42:12-42:13] 再见 爸爸
[42:14-42:16] 这催的我呀
[42:16-42:17] 怎么样了 决定没
[42:17-42:18] 这
[42:19-42:21] 拉倒吧 先吃饭再说吧
[42:21-42:22] 服务员
[42:22-42:23] 点菜
[42:26-42:27] 你这人怎么回事
[42:27-42:28] 你这人怎么回事
[42:28-42:29] 你这人怎么回事
[42:29-42:31] 就来一个你家那个
[42:31-42:33] 新年五人团聚套餐
[42:33-42:34] 姐
[42:34-42:35] 咱俩人
[42:35-42:36] 把你给忘了
[42:36-42:37] 你看你吃点啥
[42:44-42:45] 我来碗米饭就行了
[42:45-42:47] 就来碗米饭呢
[42:47-42:48] 吃这么少呢
[42:48-42:50] 姐 我压力太大了
[42:50-42:52] 是 我也丑的
[42:52-42:53] 一点胃口都没有
[42:55-42:56] 姐 姐
[42:56-42:58] 你看呀 这人真没胃口
[42:58-42:59] 你看呀 这人真的
[42:59-43:00] 他整得太过分了
[43:00-43:01] 他都像个外国人了
[43:01-43:03] 人我要的就是像外国人
[43:03-43:06] 咱得创新 中西结合
[43:07-43:08] 我以后啊
[43:08-43:10] 会带着我们的片子
[43:10-43:13] 走出国门 走向世界
[43:13-43:14] 到好多武士
[43:14-43:16] 到洛杉矶去
[43:17-43:18] 我都想好了
[43:18-43:20] 就让那个悟空
[43:20-43:22] 跟国外的天王
[43:22-43:24] 麦克扎克森结合一下他
[43:24-43:25] 不是 姐 他俩
[43:25-43:26] 他俩就没关系 他俩
[43:26-43:27] 怎么没关系呢
[43:27-43:29] 要我说他俩就是一个人
[43:29-43:31] 那声音都一样
[43:31-43:34] 一 二 三 四 五
[43:36-43:37] 一不一样
[43:37-43:38] 不是 姐
[43:38-43:39] 他最关键
[43:39-43:41] 我不知道他怎么跟戏结合
[43:42-43:43] 没有画面吗
[43:43-43:45] 一点画面都没有
[43:46-43:48] 就比如说
[43:48-43:51] 悟空以为唐僧死了那段戏
[43:52-43:54] 他看着唐僧肉
[43:54-43:56] 是什么心情
[43:56-43:58] 师父 你这
[43:58-44:00] 我这 我还没 你就被
[44:03-44:06] 师父 师父 师父
[44:07-44:08] 是谁杀了我师父
[44:08-44:10] 是谁 是谁 是谁呀
[44:27-44:29] 现在有没有画面
[44:29-44:30] 有了
[44:30-44:31] 怎么样
[44:32-44:34] 我刚看了 不太行
[44:34-44:36] 我也觉得不太行
[44:36-44:38] 跟你有什么关系
[44:38-44:39] 你上菜去你
[44:39-44:40] 不是 姐
[44:40-44:41] 现在也是
[44:41-44:43] 用麦克的人太多了
[44:43-44:45] 用得多咋了
[44:45-44:47] 不是 姐 你看是这样
[44:47-44:48] 我这回拍这个孙悟空
[44:48-44:49] 我是怎么想的呢
[44:49-44:51] 我不想拍那些表面的东西
[44:51-44:53] 我想走入孙悟空的内心
[44:53-44:54] 你比如说
[44:54-44:56] 五指山下
[44:56-45:00] 孙悟空被压了五百年
[45:00-45:01] 你想
[45:01-45:03] 他应该是个什么状态
[45:04-45:06] 你有没有画面
[45:07-45:08] 没有
[45:10-45:11] 他大概就是
[45:11-45:13] 他就是那种
[45:16-45:18] 这孩子让人给夹上了这样
[45:18-45:19] 不是
[45:21-45:22] 就是这种感觉
[45:22-45:23] 怎么
[45:23-45:24] 怎么
[45:24-45:25] 齐天大圣
[45:26-45:28] 曾经的齐天大圣
[45:28-45:30] 如今想吃个苹果
[45:30-45:31] 都得看凡人的眼色
[45:31-45:32] 你想想
[45:32-45:34] 如果他此时说话的话
[45:34-45:36] 他会说什么
[45:36-45:39] 五百年
[45:39-45:42] 沧海桑田一
[45:44-45:46] 我要的就是这种感觉
[45:46-45:47] 你有画面了吗
[45:47-45:48] 你别说
[45:48-45:49] 他这么一夹
[45:49-45:50] 我还稍微有点画面了
[45:50-45:51] 是不是
[45:51-45:52] 是
[45:52-45:53] 但是啊
[45:53-45:54] 一谋
[45:54-45:55] 你拍的那种东西
[45:55-45:57] 你想要的那种东西
[45:57-45:59] 大家不愿意看
[45:59-46:01] 现在观众都想看
[46:01-46:03] 爸总 田宠
[46:03-46:04] 这事呢
[46:04-46:05] 姐 这个孙悟空
[46:05-46:06] 他跟爸总
[46:06-46:08] 我就结合不到一起去
[46:08-46:09] 我没有画面
[46:09-46:10] 你又没画面
[46:10-46:11] 服务员
[46:13-46:14] 来给他个画面
[46:15-46:18] 说孙悟空走在马路上
[46:18-46:19] 遇到了一个漂亮姑娘
[46:22-46:24] 这个姑娘是个白骨精
[46:24-46:25] 妖精
[46:25-46:27] 但她却爱上了白骨精
[46:29-46:30] 小妖精
[46:34-46:36] 白骨精想要杀他的师父
[46:37-46:38] 但她却怀了你的猴子
[46:38-46:39] 老大
[46:41-46:42] 天庭知道了
[46:42-46:44] 把她关入了炼丹炉
[46:44-46:45] 老君
[46:45-46:46] 你有种烧死我
[46:46-46:47] 突然发现
[46:47-46:48] 那老君长得贼俩帅
[46:48-46:50] 她一脚踹坏了炼丹炉
[46:50-46:52] 又赶到十万八千里
[46:52-46:53] 就回到了白骨精的身边
[46:53-46:54] 只被说了一句
[46:54-46:55] 老孙
[46:55-46:57] 爱上你
[46:57-47:00] 你真是个漂亮姑娘
[47:04-47:06] 你这多好看这玩意
[47:07-47:08] 她这个就
[47:08-47:09] 她这个就
[47:09-47:10] 她这个就
[47:10-47:11] 她这个就
[47:11-47:12] 她这个就
[47:12-47:13] 她这个就
[47:13-47:14] 她这个就
[47:14-47:15] 她这个就
[47:15-47:16] 她这个就
[47:16-47:17] 她这个就
[47:17-47:18] 她这个就
[47:18-47:20] 她这个就不是真的孙悟空
[47:21-47:23] 谁在乎
[47:23-47:24] 谁在乎
[47:24-47:25] 我在乎
[47:27-47:28] 她懂我
[47:28-47:29] 不
[47:30-47:31] 是你懂我
[47:34-47:36] 你刚才说那个五指山呢
[47:36-47:37] 我觉得是对的
[47:38-47:39] 五百年
[47:40-47:42] 被压了五百年的齐天大圣
[47:42-47:44] 一生的才华没处斥斩
[47:44-47:47] 她所有的才能都无处展现
[47:47-47:49] 就连吃口饭
[47:49-47:51] 还得看看凡人的脸色
[47:51-47:53] 可是她曾经
[47:53-47:55] 是多么的辉煌
[47:55-47:56] 可是她忘了
[47:57-47:58] 对
[47:58-47:59] 她忘了
[48:00-48:02] 她忘了自己是毕马温
[48:02-48:03] 她忘了
[48:03-48:05] 她忘了自己曾经是齐天大圣
[48:05-48:07] 她忘了自己曾经一个人面对
[48:07-48:08] 十万天兵天将
[48:08-48:10] 她把什么都给忘了
[48:10-48:11] 她的眼神里
[48:12-48:13] 还有一丝执着
[48:14-48:17] 可她不记得在执着些什么
[48:17-48:19] 她的眼神还有一丝怨恨
[48:19-48:22] 可她忘记应该怨恨谁
[48:23-48:24] 五百年
[48:24-48:26] 风吹雨打
[48:26-48:27] 都不怕
[48:29-48:30] 啦
[48:30-48:31] 啦啦啦
[48:32-48:34] 地里打啦 动不打啦
[48:34-48:35] 讲
[48:35-48:36] 她的眼神
[48:36-48:37] 她的心
[48:37-48:38] 她的心
[48:38-48:39] 地里打啦 动不打啦
[48:39-48:40] 姐
[48:41-48:42] 这就是我要找的孙悟空
[48:47-48:48] 姐
[48:49-48:50] 蒙总
[48:51-48:52] 蒙总菜齐了
[48:52-48:53] 天啊 来开饭
[48:55-48:56] 不是
[48:56-48:57] 蒙子
[48:57-48:58] 我找到孙悟空了
[48:59-49:00] 哥咋的
[49:00-49:01] 远在天边
[49:02-49:03] 近在眼前
[49:04-49:05] 我三舅啊
[49:05-49:06] 不是他
[49:08-49:09] 是他
[49:10-49:11] 是谁呀
[49:11-49:12] 我心目中的孙悟空啊
[49:15-49:16] 明白了
[49:17-49:19] 资方资方的人你不用
[49:19-49:21] 平台平台的人你不用
[49:21-49:22] 我三舅你也不用
[49:22-49:24] 原来是自己友人
[49:24-49:25] 不是 不是
[49:25-49:26] 他这你要塞的人
[49:26-49:27] 不是
[49:27-49:29] 那你还费什么劲呢
[49:29-49:31] 又五指山了
[49:31-49:32] 自己玩灯笨的
[49:32-49:33] 不是 姐
[49:33-49:35] 我跟他真是刚认识的
[49:35-49:36] 刚认识的
[49:36-49:37] 刚认识我为啥要用的呀
[49:37-49:39] 因为我就是啊
[49:39-49:40] 你是啥呀
[49:40-49:41] 你
[49:44-49:46] 因为我就是
[49:47-49:51] 孙悟空
[49:55-49:56] 他还在戏里边
[49:57-49:58] 姐
[49:58-49:59] 但是这种感觉是对的
[50:00-50:01] 我也坦白了
[50:02-50:03] 我就是
[50:03-50:04] 玩我呢
[50:04-50:05] 是不是玩我呢
[50:05-50:07] 哥哪找个精神病人啊
[50:07-50:08] 我真是孙悟空
[50:08-50:09] 我都跟你摊牌了
[50:09-50:10] 我这第一度摊牌
[50:10-50:11] 你就是孙悟空
[50:11-50:12] 我也不能用你
[50:12-50:13] 我就是
[50:13-50:14] 你快去下来
[50:14-50:15] 不是 姐
[50:15-50:16] 我脑海中的孙悟空
[50:16-50:17] 就是这种形象
[50:17-50:18] 姨母
[50:18-50:20] 你不是第一天干这行了
[50:21-50:22] 你是搞艺术的
[50:22-50:24] 我是搞钱的
[50:24-50:25] 找这么一个人
[50:25-50:26] 你还要干什么呢
[50:26-50:27] 你还要干什么呢
[50:27-50:28] 你还要干什么呢
[50:28-50:29] 你还要干什么呢
[50:29-50:30] 你还要干什么呢
[50:30-50:31] 你还要干什么呢
[50:31-50:32] 你还要干什么呢
[50:32-50:33] 找这么一个玩意儿
[50:33-50:34] 拍出来的玩儿啊
[50:35-50:36] 给谁看
[50:36-50:38] 谁愿意看
[50:38-50:39] 我压力太大了
[50:39-50:40] 我现在才好像
[50:40-50:42] 都五指纱压着我这样
[50:44-50:45] 我一大公司
[50:45-50:48] 从上到下指着我给饭吃呢
[50:48-50:49] 而且我那饭量多大
[50:49-50:50] 不提这个不提这个
[50:52-50:53] 就说他
[50:53-50:54] 我肯定不能用
[50:57-50:59] 我真就是孙悟空
[51:00-51:01] 我就想帮他拍一个
[51:01-51:02] 就拍一个好的宋悟空
[51:03-51:04] 那我就真是如来佛
[51:05-51:06] 怎么的 要逗我呀
[51:08-51:09] 我
[51:10-51:12] 我在天庭外不能使用法力
[51:12-51:13] 要不然我
[51:13-51:14] 我定了
[51:15-51:16] 叶叶
[51:16-51:17] 大盛啊
[51:17-51:20] 那你天庭的公务很繁忙吧
[51:20-51:21] 赶紧回去吧
[51:21-51:22] 那花果山呢
[51:22-51:23] 桃儿也熟了
[51:23-51:24] 回去吧
[51:24-51:25] 你帮我一下
[51:25-51:26] 一个金斗鱼你滚一边
[51:26-51:27] 姐姐姐 你给我个面子
[51:27-51:29] 你就给他一次面试的机会呗
[51:29-51:30] 你是不是非要用他
[51:30-51:31] 他真的
[51:31-51:32] 你用他我把你也换了
[51:33-51:34] 你想好了再说
[51:35-51:36] 跟他没关系
[51:36-51:37] 你有事冲我来
[51:38-51:39] 以后
[51:39-51:41] 我定拍啥就拍啥
[51:42-51:44] 我定谁演就谁演
[51:45-51:47] 我定我三舅就是我三舅
[51:48-51:49] 我定是
[51:51-51:52] 定啥呀
[51:56-51:57] 你干啥呢 姐
[51:58-51:59] 不是 他怎么了
[52:00-52:01] 我定住了
[52:01-52:02] 什么玩意你定住了
[52:02-52:03] 这 姐
[52:04-52:05] 姐太急了
[52:06-52:07] 不是 他到底怎么了
[52:07-52:08] 我都说我是孙悟空了
[52:08-52:09] 不是 你什么
[52:09-52:10] 你孙悟空
[52:13-52:14] 我信
[52:15-52:16] 什么玩意
[52:17-52:18] 怎么回事
[52:19-52:21] 我是不是被他催眠了
[52:22-52:24] 就这些雕虫小气
[52:27-52:28] 吵死
[52:30-52:31] 这回信了吗
[52:45-52:46] 不可能
[52:47-52:48] 绝对不可能
[52:48-52:50] 他是不是被你催眠了
[52:50-52:52] 姐 来 我帮你解开
[52:52-52:53] 姐
[52:53-52:55] 大家好
[52:58-52:59] 打死了
[53:00-53:01] 土地
[53:01-53:02] 土地公主
[53:03-53:04] 你好
[53:05-53:07] 大圣 你怎么来了
[53:07-53:09] 你为何要为难小仙
[53:09-53:10] 在人间施法
[53:11-53:12] 为了帮个人
[53:13-53:16] 你四大天王已经在来的路上了
[53:17-53:19] 小神也是爱莫能助
[53:19-53:20] 爱莫能助了
[53:20-53:21] 不可能
[53:22-53:23] 他绝对是个群演
[53:23-53:24] 他绝对是个群演的
[53:24-53:25] 不好了
[53:25-53:26] 经理 你看看这怎么回事
[53:27-53:28] 大师兄
[53:29-53:30] 杀活着
[53:31-53:32] 你好
[53:32-53:34] 大师兄 你在凡金室有法力
[53:34-53:35] 天庭派人来抓你了
[53:35-53:37] 怎么就你一个人 八戒呢
[53:37-53:38] 二师兄
[53:39-53:40] 在节目里当导师呢
[53:45-53:47] 笑得春光敞烂的
[53:48-53:49] 靠不住
[53:49-53:50] 我帮你扛一会
[53:51-53:52] 不用了 自己的事
[53:52-53:53] 我自己担着
[53:54-53:55] 好
[53:56-53:58] 你真是宋武库
[53:58-53:59] 不然呢
[54:00-54:01] 不许拍
[54:02-54:05] 宋武库已出万天条
[54:05-54:08] 在阮天山右守护
[54:08-54:11] 我等奉命 击打本领旗
[54:12-54:14] 不是 这 这是谁呀
[54:14-54:16] 四大天王
[54:22-54:24] 本来我是游历人间
[54:25-54:26] 还想到这个恒殿
[54:26-54:28] 体验一天演员的感觉
[54:28-54:30] 结果你们太不好玩了
[54:30-54:32] 多亏碰上了你
[54:32-54:33] 但多了你
[54:33-54:34] 我还犯了天条
[54:36-54:38] 大师 你为什么要帮我呀
[54:39-54:41] 因为我觉得你能够拍好
[54:42-54:43] 你真觉得我能拍好
[54:45-54:46] 那你能来演吗
[54:47-54:48] 我可能够呛了
[54:48-54:50] 我这个犯事估计得
[54:50-54:51] 在天庭关几个月
[54:51-54:53] 没事 我可以等你晚几天开机
[54:53-54:54] 天上一天 地上一年
[54:54-54:55] 你等得起吗
[54:55-54:56] 那我也够呛了
[54:58-55:01] 行了 好好拍
[55:02-55:03] 我信你
[55:04-55:06] 你真的觉得我能拍好
[55:07-55:09] 再坚持坚持嘛
[55:09-55:10] 万一是对的呢
[55:13-55:14] 你不是老没画面吗
[55:15-55:17] 你走前 我再送你个画面
[55:18-55:19] 看好了
[55:20-55:21] 记住我的样子
[55:24-55:29] 出手万国皆因果
[55:31-55:32] 世大天王
[55:32-55:34] 好久不见哪
[55:37-55:42] 这世大天王
[55:42-55:47] 你能够让我试试看过
[55:48-55:52] 无厌倦那千万大
[55:54-55:57] 无有一个回头
[56:00-56:05] 流离君子在深海
[56:06-56:08] 出手千万大
