[00:00-00:02] 谢谢 谢谢
[00:02-00:04] 很多朋友经常会问我说
[31:00-31:02] 所有人都觉得自己是郭敬
[31:02-31:04] 都要打起来 最后我没办法
[31:04-31:06] 我说 你们要都当郭敬
[31:06-31:08] 那我当黄荣
[31:10-31:12] 然后就没人想当郭敬了
[31:12-31:14] 都在那当黄老邪
[31:18-31:20] 我当时还想着练武功
[31:20-31:22] 我当时的理念很简单
[31:22-31:24] 就是先练挨打 再练打人
[31:24-31:26] 练了三天金钟罩铁不散
[31:26-31:28] 练了三天金钟罩铁不散
[31:28-31:30] 感觉练成了 出门就找人打我
[31:30-31:32] 感觉练成了 出门就找人打我
[31:32-31:34] 大家也很激动
[31:34-31:36] 都想来试一试
[31:36-31:38] 结果一巴掌打过来
[31:38-31:40] 我就发现我没练成
[31:40-31:42] 大家也发现我没练成
[31:42-31:44] 就虽然我一直没喊疼
[31:44-31:46] 但是大家都看出来
[31:46-31:48] 我都被打肿了
[31:50-31:52] 天天一群小孩没事还在那里
[31:52-31:54] 划三轮舰 还在那各种
[31:54-31:56] 奇怪的组合打架的时候
[31:56-31:58] 杨过非得牵着他家狗
[31:58-32:00] 说这是他的雕
[32:02-32:04] 但关键是他一手牵着狗
[32:04-32:06] 就没有手打架了呀
[32:06-32:08] 而且那个时候
[32:08-32:10] 武林好几头招式虽然很多
[32:10-32:12] 但是最厉害的大家应该都知道
[32:12-32:14] 就是这个
[32:14-32:16] 真的就是这个
[32:16-32:18] 不知道为什么只要摆出来这个
[32:18-32:20] 你就感觉有一股真气就出来了
[32:20-32:22] 他虽然很厉害
[32:22-32:24] 但是你只要这样 你就把它挡住了
[32:30-32:32] 为了体验那种硬性躯干
[32:32-32:34] 我前一段时间还去射箭了
[32:34-32:36] 但我发现一个事
[32:36-32:38] 就是我没办法单独闭上我的左眼
[32:38-32:40] 就直面同时都懵了说
[32:40-32:42] 自身你整天拍马屁
[32:42-32:44] 但人还挺正直
[32:44-32:46] 没办法睁一只眼闭一只眼
[32:48-32:50] 然后射箭馆大哥
[32:50-32:52] 就给我弄了一个窗口贴
[32:52-32:54] 粘在我的左眼上
[32:54-32:56] 就是不知道的看我第一眼
[32:56-32:58] 说这个人刚刚是中箭了吗
[33:02-33:04] 但是大家不知道的是
[33:04-33:06] 我怎么能受伤了 我连个金钟罩
[33:06-33:08] 铁不散呀
[33:08-33:10] 而且这个大哥还在那教我
[33:10-33:12] 他说射箭讲究的就是一个文准狠
[33:12-33:14] 然后我一下子
[33:14-33:16] 又直接射中了人家的监控
[33:16-33:18] 大哥不平你了
[33:18-33:20] 你这个箭射得也不文也不准
[33:20-33:22] 但是真狠呀
[33:22-33:24] 第一次见人来店里先干掉监控的
[33:24-33:26] 你这适合干劫匪呀
[33:30-33:32] 但是射箭馆的老板
[33:32-33:34] 还是很贴心 第二次去
[33:34-33:36] 就直接给我整了个黑色的单个眼罩
[33:36-33:38] 真的
[33:38-33:40] 我戴上那个眼罩
[33:40-33:42] 手里还拿着把弓箭
[33:42-33:44] 就你看见都害怕
[33:44-33:46] 说现在这个店里可是连个监控都没有呀
[33:50-33:52] 真的 我小时候在武侠里
[33:52-33:54] 看见那些长得不好看的
[33:54-33:56] 话还特别多 还喜欢搞笑
[33:56-33:58] 射箭还得戴眼罩的
[33:58-34:00] 我都会感觉这个人应该活不过下一集
[34:00-34:02] 但现在大家看到
[34:02-34:04] 这种长得不好看
[34:04-34:06] 话还特别多 还喜欢搞笑的
[34:06-34:08] 你也没有什么办法
[34:08-34:10] 因为这就是最后一集
[34:10-34:12] 真的 像我这种
[34:12-34:14] 话贼的角色
[34:14-34:16] 靠嘴来杀人的好处就是每天只需要
[34:16-34:18] 随身携带 云蓝白药
[34:18-34:20] 口腔修护寒素液
[34:20-34:22] 搭配活性碳牙膏 帮助修复口腔粘膜损伤
[34:22-34:24] 虽然武功不是很高
[34:24-34:26] 但嘴皮子是真历史
[34:26-34:28] 就虽然我成为不了大侠
[34:28-34:30] 但是我却成为了脱口油路寒
[34:30-34:32] 所以你也说不上哪一个更快乐
[34:32-34:34] 谢谢大家
[34:34-34:36] 你好 我是盛
[34:38-34:40] 帅
[34:40-34:42] 帅
[34:42-34:44] 帅
[34:44-34:46] 真的 就现在我的微博下边
[34:46-34:48] 除了绝美就是老公
[34:48-34:50] 那么现在还有人
[34:50-34:52] 在老公的评论下边说
[34:52-34:54] 你真勇敢 我都喊不出口
[34:58-35:00] 但是最近大家都说
[35:00-35:02] 徐志诚脱口又没什么思考
[35:02-35:04] 这个问题我很认真的思考了一下
[35:04-35:06] 我就是不会思考
[35:08-35:10] 而且我现在真的是一般都是睡觉前才思考
[35:10-35:12] 不睡觉不思考
[35:12-35:14] 一思考就睡不着觉
[35:16-35:18] 我现在都是得努力睡会觉 玩会手机
[35:18-35:20] 玩会手机再去努力睡会觉
[35:20-35:22] 我都生气了 我说这怎么睡个觉
[35:22-35:24] 还开始摸鱼了
[35:26-35:28] 真的 就有时候你在睡觉之前
[35:28-35:30] 刷短视频真的很容易焦虑
[35:30-35:32] 有时候本身就睡不着
[35:32-35:34] 刷着刷着刷到了古爱玲的视频
[35:34-35:36] 说她一天最少要睡十个小时
[35:36-35:38] 是真有点急了
[35:38-35:40] 说事业没人家成功
[35:40-35:42] 怎么睡觉还睡不过人家
[35:46-35:48] 真的越想越沮丧
[35:48-35:50] 最后都得硬劝自己
[35:50-35:52] 说没事 你想想古爱玲工作的地方
[35:52-35:54] 那可都是下坡路呀
[35:56-35:58] 我看上去就不是太会思考的样子
[35:58-36:00] 就大学的时候
[36:00-36:02] 文艺委员在那统计节目问别同学
[36:02-36:04] 同学你会唱歌吗
[36:04-36:06] 同学你会跳舞吗 到我这儿
[36:06-36:08] 同学你会演小品吗
[36:10-36:12] 演了四年小品
[36:12-36:14] 最后毕业晚会的时候老师很兴奋过
[36:14-36:16] 说说志胜 快来吧
[36:16-36:18] 这里有个角色就是为你量身打造的
[36:18-36:20] 去了一看让我演个太监
[36:20-36:22] 我在那里有点抗拒
[36:22-36:24] 老师也看出来说志胜实在不行
[36:24-36:26] 你先演演皇上
[36:26-36:28] 但是我发现我在那演皇上的时候
[36:28-36:30] 脑子里老有一个想法
[36:30-36:32] 旁边这个太监他到底会不会演呀
[36:40-36:42] 因为旁边那个太监
[36:42-36:44] 他满脸大胡子
[36:44-36:46] 我说他会不会演啊
[36:46-36:48] 他说他会演啊
[36:48-36:50] 他满脸大胡子
[36:50-36:52] 我说这是怎么进的宫呀
[36:52-36:54] 这是溜进宫的吧
[36:56-36:58] 一个太监让他演得声音红亮
[36:58-37:00] 眼神青涩 关键还一身正气
[37:02-37:04] 我这个皇上在旁边显得那叫一个卑躬屈膝呀
[37:06-37:08] 我说你要实在不会演 咱家就教教你
[37:18-37:20] 后来我们就换回了
[37:20-37:22] 老师可是太开心了
[37:22-37:24] 说这一下子就全对了
[37:24-37:26] 皇上有了皇上的样子
[37:26-37:28] 太监也有了太监该有的样子
[37:30-37:32] 我就感觉我之所以显得卑躬屈膝
[37:32-37:34] 就是因为我駝背
[37:38-37:40] 真的 我还为了改变这个习惯
[37:40-37:42] 我还想着去练瑜伽
[37:42-37:44] 把气质调整
[37:44-37:46] 把气质调整
[37:46-37:48] 我发现练瑜伽最痛苦的都不是练
[37:48-37:50] 而是瑜伽老师让我穿了个瑜伽裤
[37:52-37:54] 真的是又黑又谨慎
[37:54-37:56] 我当时看到地下我说我穿这个
[37:56-37:58] 会不会有些太性感了呀
[38:02-38:04] 然后他跟我说你穿上练舒服
[38:06-38:08] 但是我发现我穿上之后
[38:08-38:10] 瑜伽老师看我的目光
[38:10-38:12] 一下子就开始闪躲起来
[38:12-38:14] 然后我发现我穿上之后
[38:14-38:16] 我的目光一下子就开始闪躲起来了
[38:22-38:24] 瑜伽老师整不舒服了
[38:26-38:28] 在那里跟我说 说志胜
[38:28-38:30] 其实不穿瑜伽裤也可以练
[38:32-38:34] 就当时老师的目光
[38:34-38:36] 既没办法盯着我的脸看
[38:36-38:38] 也没办法盯着我的腿看
[38:38-38:40] 当时我就感觉我这还得
[38:40-38:42] 屈头屈尾可死呀
[38:44-38:46] 哈哈哈哈
[38:52-38:54] 我这还真是一个
[38:54-38:56] 瑜伽男孩
[39:00-39:02] 而且上课的时候第一节课
[39:02-39:04] 老师在那里教我站立
[39:04-39:06] 我说老师咱这个课挺贵的
[39:06-39:08] 咱就别教这么基础的了吧
[39:08-39:10] 老师说行 咱们接下来学
[39:10-39:12] 呼吸
[39:12-39:14] 我都疯了
[39:14-39:16] 我说我总看那个表情包跟上团队
[39:16-39:18] 赚钱就像呼吸一样简单
[39:18-39:20] 我说这个团队说的是你们团队呀
[39:24-39:26] 但是我就发现这个花钱
[39:26-39:28] 学的呼吸跟平常的呼吸真的不一样
[39:28-39:30] 我当时每呼吸一下
[39:30-39:32] 都心疼
[39:32-39:34] 而且真的 我在那练瑜伽的时候
[39:34-39:36] 真的特别努力
[39:36-39:38] 随着轻柔的音乐
[39:38-39:40] 动作越来越吃力 表情越来越
[39:40-39:42] 越来越猙獰
[39:42-39:44] 老师说你这怎么光表情用力
[39:44-39:46] 你来我这练脸来了
[39:48-39:50] 真的就和大家练了一节课
[39:50-39:52] 老师就跟我说说是自圣
[39:52-39:54] 可能你不能跟大家一起上了
[39:54-39:56] 你要单独辅导
[39:56-39:58] 跟我说这个人心是向外的
[39:58-40:00] 常受外界的干扰容易闻乱不安
[40:00-40:02] 我说没事老师 我可以克服
[40:02-40:04] 他说自圣 你就是那个外界的干扰
[40:04-40:06] 你再穿个瑜伽裤
[40:06-40:08] 那是宇宙级别的干扰
[40:12-40:14] 但是我发现真的
[40:14-40:16] 就是最好的方式真的不是瑜伽托辈
[40:16-40:18] 我回家之后我跟我妈说
[40:18-40:20] 我靠瑜伽饺子托辈
[40:20-40:22] 我妈三秒钟过只好说
[40:22-40:24] 暂时了
[40:24-40:26] 好了 表达理想 大家
[40:34-40:36] 好帅
[40:40-40:42] 今天的主题退网吧
[40:42-40:44] 真的大家先别退
[40:44-40:46] 因为我这高红呀
[40:48-40:50] 前段时间我还去演了
[40:50-40:52] 独行乐球
[40:54-40:56] 所以我现在也是29亿票房先生了
[40:56-40:58] 所以今天比赛我可能不是票数最高的
[40:58-41:00] 但一定是票房最高的
[41:00-41:02] 而且我在那个电影里的表现
[41:02-41:04] 怎么说呢 就是你一秒都不能错过
[41:04-41:06] 因为总共就三秒
[41:08-41:10] 就这大家周围的人很羡慕
[41:10-41:12] 跟我说 自圣你跟沈腾老师合作开心吗
[41:12-41:14] 我说我都没见过沈腾呀
[41:16-41:18] 我说我都没见过沈腾呀
[41:18-41:20] 我说我都没见过沈腾呀
[41:20-41:22] 我说我都没见过沈腾呀
[41:22-41:24] 我说我都没见过沈腾呀
[41:24-41:26] 就拍这个电影我都没闹着去片场呀
[41:26-41:28] 就是一个人在我们公司
[41:28-41:30] 拿这个摄像机对着我拍了三分钟
[41:30-41:32] 给我说恭喜许老师杀青了
[41:36-41:38] 我都懵了
[41:38-41:40] 我说你这是拍电影了还是拍短视频了
[41:40-41:42] 结果电影一上映
[41:42-41:44] 我说这怎么比短视频还短
[41:48-41:50] 我说我都懵了
[41:50-41:52] 我说你这是拍电影了还是拍短视频了
[41:52-41:54] 而且这三秒还上了热搜
[41:54-41:56] 而且这三秒还上了热搜
[41:56-41:58] 徐自圣在独行乐囚上讲脱口秀
[41:58-42:00] 徐自圣在独行乐囚上讲脱口秀
[42:00-42:02] 词条都快比我的台词长了
[42:08-42:10] 关键是还有人在那儿夸了说
[42:10-42:12] 虽然只看了一个片段
[42:12-42:14] 但自圣的演技封神了
[42:14-42:16] 我都懵了怎么都封神了
[42:16-42:18] 我还没来得及演啊
[42:18-42:20] 现在网上真是什么都敢夸
[42:20-42:22] 我现在只要在网上发一些我穿好看衣服的照片
[42:22-42:24] 下面的评论全都是
[42:24-42:26] 自圣大帅哥
[42:26-42:28] 太帅了
[42:28-42:30] 自圣绝美
[42:34-42:36] 绝美
[42:36-42:38] 绝美
[42:38-42:40] 绝美
[42:40-42:42] 绝美
[42:42-42:44] 绝美
[42:44-42:46] 绝美
[42:46-42:48] 真的就是你们都把我夸恍惚了
[42:48-42:50] 真的就是你们都把我夸恍惚了
[42:50-42:52] 有时候我都忍不住去问我经纪人
[42:52-42:54] 我说姐我最近是不是变得有点太好看了
[42:54-42:56] 我说姐我最近是不是变得有点太好看了
[42:58-43:00] 真的我就想听点真心话
[43:00-43:02] 我今天跟我说说自圣没有
[43:02-43:04] 你就是华中蛆虫
[43:04-43:06] 大家都爱看小丑
[43:08-43:10] 我说行了讲我清醒了
[43:10-43:12] 这个真心话是真难听呀
[43:14-43:16] 我当时我都想在我下面
[43:16-43:18] 都是大帅哥了
[43:18-43:20] 那些idol下面
[43:20-43:22] 还能有什么形容词
[43:22-43:24] 然后我就去看了我就发现
[43:24-43:26] 真的没有形容词全是
[43:26-43:28] 老公老公老公
[43:36-43:38] 用名词表形容呀
[43:40-43:42] 我当时就只剩下一个底线
[43:42-43:44] 我就去看了看广字的评论
[43:46-43:48] 发现也全是老公
[43:48-43:50] 甚至还有几个宝贝
[43:52-43:54] 我都懵了
[43:54-43:56] 我说我现在不会是全网上
[43:56-43:58] 最后一个大帅哥了吧
[44:06-44:08] 而且大家真的是
[44:08-44:10] 在网上这么夸我
[44:10-44:12] 我特别的不习惯
[44:12-44:14] 因为拍马屁这是我的本质工作呀
[44:18-44:20] 而且大家现在在网上这么夸
[44:20-44:22] 真的就把马屁都拍得通货膨胀了
[44:24-44:26] 就我身边同事都说我现在夸得没网上好听
[44:26-44:28] 就关键网上喊的那些
[44:28-44:30] 我也说不出口呀
[44:32-44:34] 就以前啊大家都说我
[44:34-44:36] 拍马屁是讨好行人格
[44:36-44:38] 现在大家都说我拍马屁是
[44:38-44:40] 费力不讨好行人格
[44:42-44:44] 但是夸人总比去吵架好
[44:44-44:46] 现在大家网上到处都在吵架
[44:48-44:50] 就我最近特别喜欢看修驴蹄的视频
[44:50-44:52] 就是把不好看的驴蹄和坏的驴蹄修好嘛
[44:54-44:56] 真的就这在下面大家都在吵架
[44:56-44:58] 有说修驴蹄疼心疼驴的
[45:00-45:02] 有说修驴蹄不疼的
[45:02-45:04] 还有在那劝劝说驴蹄肯定不疼
[45:04-45:06] 因为这修的是马蹄的
[45:12-45:14] 最让我生气的就是下面这个一个夸奖的评论
[45:14-45:16] 说这个驴蹄修完之后这是绝美呀
[45:28-45:30] 我当时都懵了这是个驴蹄呀
[45:30-45:32] 他怎么也绝美他最多是脚美呀
[45:40-45:42] 真的我有时候挺羡慕这个驴的
[45:42-45:44] 有时候真的挺羡慕驴的
[45:44-45:46] 因为他不会上网
[45:46-45:48] 就这些评价他也听不到
[45:48-45:50] 你夸我也好骂我也好
[45:50-45:52] 爱说啥说啥反正我的驴蹄
[45:52-45:54] 是扎扎实实地变好了
[45:54-45:56] 至于你要非要问我的驴蹄
[45:56-45:58] 当时是怎么说的
[45:58-46:00] 可能就是踢了一些不该踢的脑袋吧
[46:00-46:02] 谢谢大家我是自盛
[46:06-46:08] 大家好我是自盛
[46:16-46:18] 最近我老出去录节目真的很受挫
[46:18-46:20] 因为唱歌跳舞各种乐器
[46:20-46:22] 我也都不会
[46:22-46:24] 那逼得节目主都急了
[46:24-46:26] 自盛你除了脱口秀还会啥
[46:26-46:28] 为啥你看这些其他节目
[46:28-46:30] 各种声光电在台上多耀眼
[46:30-46:32] 我说你要是想要声光电的话
[46:32-46:34] 我还会电汉
[46:38-46:40] 我这个节目比他们耀眼多了
[46:40-46:42] 你都睁不开眼
[46:48-46:50] 我从小学电汉是因为我爸想通过这个事
[46:50-46:52] 反向鼓励我好好学习
[46:52-46:54] 反向鼓励我好好学习
[46:54-46:56] 我没想到我天赋这么强
[46:56-46:58] 十岁就会汉铁锹了
[46:58-47:00] 村里都轰动了都出去传
[47:00-47:02] 说我们那儿出了个电汉神童
[47:08-47:10] 真的都有人来看我汉铁锹
[47:10-47:12] 看完还夸朗说
[47:12-47:14] 这孩子还真是个
[47:14-47:16] 吃苦的好苗子
[47:20-47:22] 然后我自从学会干
[47:22-47:24] 电汉之后我爸就老让我帮他干活
[47:24-47:26] 暑假寒假周末
[47:26-47:28] 边干活边说我说你不好学习
[47:28-47:30] 就只能干这个
[47:30-47:32] 我说爸我想好好学习我没时间呀
[47:38-47:40] 而且也没时间学才艺整天干电汉
[47:40-47:42] 就过年的时候
[47:42-47:44] 我表哥在那里表演双截棍
[47:44-47:46] 把我气的呀
[47:46-47:48] 偷偷地把他的双截棍汉成了棍
[47:52-47:54] 我是没想到这个跪打人也这么疼呀
[48:00-48:02] 我在娱乐圈就一直没有找到
[48:02-48:04] 电汉的用武之地
[48:04-48:06] 因为现在的节目都是什么蒙面歌王
[48:06-48:08] 蒙面舞王
[48:08-48:10] 我就不明白了你唱个歌跳个舞
[48:10-48:12] 你蒙面干啥呀
[48:12-48:14] 电汉才用蒙面呀
[48:14-48:16] 我能想到唯一的用处
[48:16-48:18] 就是你们的CPB1了
[48:18-48:20] 我能给他们汉上
[48:22-48:24] 所以我真的
[48:24-48:26] 我进入这一行真的就误打误撞
[48:26-48:28] 我家里也不是按这个方向培养的呀
[48:28-48:30] 我是在农村长大的
[48:30-48:32] 我是个真正的种地霸少年
[48:42-48:44] 就现在很多少年真的不理解种地这个事
[48:44-48:46] 前段时间一个少年还问我说
[48:46-48:48] 志生哥你会打农药吗
[48:48-48:50] 他其实说的是
[48:50-48:52] 他其实说的是王者荣耀
[48:52-48:54] 我哪知道我说我会打
[48:54-48:56] 从小就打
[48:56-48:58] 他说你一般打什么位置
[48:58-49:00] 我说我打什么位置
[49:00-49:02] 主要取决于哪里有虫
[49:08-49:10] 他也听明白了说原来你喜欢打野呀
[49:16-49:18] 而且回家老家人也不理解我现在的生活
[49:18-49:20] 真的我过年回家
[49:20-49:22] 亲戚跟我说说志生
[49:22-49:24] 在村里给你接了个活
[49:24-49:26] 去咱们村养鸡场直播
[49:26-49:28] 跟我说说你去养鸡场直播
[49:28-49:30] 啥也不用干
[49:30-49:32] 你就追着鸡跑
[49:32-49:34] 你让大家看看咱这都是走地鸡
[49:40-49:42] 还说我跟你说啊
[49:42-49:44] 这个直播间的名字我都想好了
[49:44-49:46] 叫成胜追鸡
[49:46-49:48] 追鸡
[49:54-49:56] 我都疯了
[49:56-49:58] 你要是光追鸡的话
[49:58-50:00] 你是不是放条狗就行呀
[50:02-50:04] 除了在农村里养成这些技能之外
[50:04-50:06] 我在大学还学会了修电动车
[50:06-50:08] 因为我那个时候花280
[50:08-50:10] 买了一个电动车
[50:10-50:12] 就那个电动车破的呀
[50:12-50:14] 就是你给电
[50:14-50:16] 往前走它还一直在那抖
[50:18-50:20] 你坐一会儿你身子都麻
[50:20-50:22] 有一次一个女孩坐了一次
[50:22-50:24] 跟我说说志生你这个电动车
[50:24-50:26] 是不是漏电呀
[50:32-50:34] 真的我第一次坐电动车晕车
[50:38-50:40] 真的关键是这个电动车
[50:40-50:42] 它还老坏
[50:42-50:44] 就有人骑到半路它就坏了
[50:44-50:46] 我还得停下来修车
[50:46-50:48] 真的有人修得吃热了
[50:48-50:50] 路过的同学都惊讶说这个同学到底什么专业的
[50:52-50:54] 他怎么也不学习光修车呀
[50:56-50:58] 真的所以《中体化少年》这种节目真的挺好的
[50:58-51:00] 我就希望以后能多出点这种节目
[51:00-51:02] 什么蒙面汉将
[51:08-51:10] 拜托了电动车
[51:10-51:12] 养猪秀大会
[51:12-51:14] 我绝对是在节目上最闪耀的那个
[51:14-51:16] 谢谢大家
[51:24-51:26] 今年真的是有一些奇妙的经历
[51:26-51:28] 比如说前一段时间
[51:28-51:30] 我们大学让我回去做一个
[51:30-51:32] 成功经验分享
[51:34-51:36] 我都忘了我说我这个成功是不是太偶然了呀
[51:36-51:38] 老说你就往普遍地讲呀
[51:38-51:40] 你有讲讲咱们这个材料专业
[51:40-51:42] 是怎么在你成功道路上帮助你的
[51:46-51:48] 我当时想了想
[51:48-51:50] 我说我这个头发确实在学咱们专业的时候掉的
[51:56-51:58] 就脱口演员真的没办法做这种分享
[51:58-52:00] 你想我去了说啥
[52:00-52:02] 我说同学们上课一定要认真
[52:02-52:04] 听讲
[52:04-52:06] 因为你一走神就接不住梗了
[52:10-52:12] 老师还跟我说
[52:12-52:14] 你就讲讲努力才是你成功的关键
[52:14-52:16] 我说关键是
[52:16-52:18] 我也不是靠努力长成这样的呀
[52:22-52:24] 我真的
[52:24-52:26] 其实这些利益智能的东西
[52:26-52:28] 我考研的时候就特别喜欢
[52:28-52:30] 当时我考研的时候最火的一个视频
[52:30-52:32] 就是一个老师在那说你这个年纪你睡得着觉
[52:34-52:36] 就这个老师
[52:36-52:38] 他是教啥的
[52:38-52:40] 我现在都不知道
[52:40-52:42] 但他让所有考研的人都睡不着觉了
[52:42-52:44] 我第一次听到这个话的时候
[52:44-52:46] 我热血沸腾
[52:46-52:48] 直接射程闹铃了
[52:48-52:50] 每隔五分钟老师就出来一声
[52:50-52:52] 你睡得着觉
[52:56-52:58] 老师喊了二十多次
[52:58-53:00] 我还睡得着觉
[53:00-53:02] 后来他只要一喊
[53:02-53:04] 我就把他按掉
[53:04-53:06] 最后就变成了你睡你睡
[53:12-53:14] 真的考研的时候
[53:14-53:16] 那时候要看那些教学视频
[53:16-53:18] 也是老师在里面给你讲讲知识点
[53:18-53:20] 再励志一会儿
[53:20-53:22] 结果我就光调励志的部分看了
[53:22-53:24] 就励志半小时学习十分钟
[53:24-53:26] 看完作题还是啥都不会
[53:26-53:28] 但浑身都是劲
[53:32-53:34] 热血沸腾都不会
[53:34-53:36] 有时候真的
[53:36-53:38] 就这一颗的励志都不够了
[53:38-53:40] 我有时候学数学的时候
[53:40-53:42] 得看英语励志
[53:42-53:44] 就我同学看见都懵了说自圣
[53:44-53:46] 你是看不懂声音和口声音
[53:46-53:48] 这两个单词是吗
[53:54-53:56] 大学真的很热血
[53:56-53:58] 我还跟着我们班篮球队去打篮球
[53:58-54:00] 真的当替补
[54:00-54:02] 其他人的平均身高1米88
[54:02-54:04] 我1米71.6
[54:06-54:08] 就我混在其中
[54:08-54:10] 看了之后你说这个人
[54:10-54:12] 他在篮球上一定有过人之处
[54:14-54:16] 看了一会儿你又发现
[54:16-54:18] 我都不会过人
[54:22-54:24] 真的有一次我们的中锋受伤了
[54:26-54:28] 他们让我上去防对面
[54:28-54:30] 1米9亿的中锋大哥
[54:30-54:32] 给我说这个战术叫
[54:32-54:34] 田径赛马
[54:40-54:42] 我都疯了我说田径赛马
[54:42-54:44] 你是不是也得用下等马去对上等马
[54:44-54:46] 你这弄了条驴这能行吗
[54:58-55:00] 真的那天你别说赛跑了
[55:00-55:02] 差点让上等马把我踢死
[55:06-55:08] 大哥一个转身把我夹杂子窝里了
[55:14-55:16] 我被夹着我也不敢生气
[55:16-55:18] 就怕别人说我窝里横
[55:18-55:20] 我在那是真防守呀
[55:20-55:22] 他们打球全是假动作
[55:22-55:24] 有一次我防守我都没跟上
[55:24-55:26] 对方都走到南下了
[55:26-55:28] 都没人了他做了个假动作
[55:28-55:30] 又把球投进了
[55:30-55:32] 我说你这不有病吗这都没人
[55:32-55:34] 你做什么假动作害得我在原地又跳了一下
[55:38-55:40] 我说你这不有病吗这都没人
[55:40-55:42] 你做什么假动作害得我在原地又跳了一下
[55:48-55:50] 真的真的大学这些热学都没有什么热学
[55:50-55:52] 真的真的大学这些热学都没有什么热学
[55:52-55:54] 大学最热学的还得是期末考试三天学完一学期的课热学
[55:54-55:56] 大学最热学的还得是期末考试三天学完一学期的课热学
[55:56-55:58] 真的本来时间就很珍贵了
[55:58-56:00] 经常找教材还花了半天
[56:00-56:02] 我肯定是临阵磨墙找不到墙
[56:02-56:04] 真的经常就是十章的内容
[56:04-56:06] 真的经常就是十章的内容
[56:06-56:08] 前两天文章文打学了一年
[56:08-56:10] 前两天文章文打学了一年
[56:10-56:12] 前两天文章文打学了一年
[56:12-56:14] 前两天文章文打学了一年
[56:14-56:16] 经常就是十章的内容
[56:16-56:18] 前两天文章文打学了一章
[56:18-56:20] 最后一天学了九章
[56:20-56:22] 最后一天学了九章
[56:22-56:24] 最后考试也是九死一生
[56:24-56:26] 最后考试也是九死一生
[56:26-56:28] 这个时候你就看学霸身边
[56:28-56:30] 这个时候你就看学霸身边
[56:30-56:32] 就全是学大在那里熬熬待哺
[56:32-56:34] 人家学霸还会负责说这个在科研上很重要
[56:34-56:36] 人家学霸还会负责说这个在科研上很重要
[56:36-56:38] 你也急了我不想知道重不重
[56:38-56:40] 你就告诉我考不考
[56:40-56:42] 你就告诉我考不考
[56:43-56:45] 高等数学你只学三天
[56:45-56:47] 量子力学你也只有三天
[56:47-56:49] 关键的三天还是同一个三天
[56:49-56:51] 关键的三天还是同一个三天
[56:51-56:53] 真的我可真行
[56:53-56:55] 高中牛顿力学学了三年
[56:55-56:57] 量子力学学了三天
[56:57-56:59] 三天是什么概念
[56:59-57:01] 我都没来得及和量子纠缠
[57:01-57:03] 我都没来得及和量子纠缠
[57:07-57:09] 真的所以我大学真的是
[57:09-57:11] 热血沸腾到啥也没干成
[57:11-57:13] 我也没有资格去给大家分享啥
[57:13-57:15] 我也没有资格去给大家分享啥
[57:15-57:17] 但是我就想给喜欢我的大学生们
[57:17-57:19] 就录一个闹铃
[57:19-57:21] 就说你这个年纪你看得下去
[57:21-57:23] 就说你这个年纪你看得下去
[57:23-57:25] 你看得下去
[57:42-57:44] 有种来到演唱会的感觉
[57:48-57:50] 大家应该能看得出来啊
[57:50-57:52] 今年的造型和去年有些不一样了
[57:54-57:56] 今年把刘海剪了
[57:56-57:58] 给大家讲讲为啥吧
[57:58-58:00] 其实原因很简单
[58:00-58:02] 因为去年这个刘海他太火了
[58:02-58:04] 就他已经火到
[58:04-58:06] 有点功高盖主了
[58:06-58:08] 就是去年大家看到我
[58:08-58:10] 他的目光就会停留在我脸的右上方
[58:10-58:12] 他的目光就会停留在我脸的右上方
[58:12-58:14] 直勾勾地盯着我的刘海看
[58:14-58:16] 表情是那种专注且满足
[58:16-58:18] 表情是那种专注且满足
[58:18-58:20] 仿佛在我的刘海上看到了日出
[58:20-58:22] 仿佛在我的刘海上看到了日出
[58:22-58:24] 真的有一次
[58:24-58:26] 我这个刘海不太明显
[58:26-58:28] 我去参加一个活动
[58:28-58:30] 这个主办方当时就不高兴了
[58:30-58:32] 过了一个活动
[58:32-58:34] 我去参加一个活动
[58:34-58:36] 当时就不高兴了
[58:36-58:38] 郭叔叔说 自身啊 你刘海不在
[58:38-58:40] 我们也没必要让你来呀
[58:46-58:48] 真的 我可以不去
[58:48-58:50] 但刘海必须来
[58:50-58:52] 就在主办方眼里就是
[58:52-58:54] 挺好的一个刘海怎么还长了个人呀
[59:04-59:06] 今年没了就想着把刘海剪掉
[59:06-59:08] 就好好斜断着好好再进步一下
[59:08-59:10] 结果没想到我剪完头发
[59:10-59:12] 同时看到我说 自身怎么感觉你比之前还好笑
[59:12-59:14] 同时看到我说 自身怎么感觉你比之前还好笑
[59:14-59:16] 你现在特别像一个民国的车夫
[59:16-59:18] 你现在特别像一个民国的车夫
[59:18-59:20] 你现在特别像一个民国的车夫
[59:24-59:26] 骆驼绳子
[59:28-59:30] 骆驼绳子
[59:34-59:36] 我今年回老家
[59:36-59:38] 也有很多人过去找我合影
[59:38-59:40] 大家应该都知道
[59:40-59:42] 真的 就当时已经有多少人
[59:42-59:44] 就连初中欺负过我的人
[59:44-59:46] 都去找我合影了
[59:46-59:48] 就当时真的很尴尬
[59:48-59:50] 我也没想到他还主动破评说
[59:50-59:52] 自身 你不会连我也忘了吧
[59:56-59:58] 说我初中的时候可没少找你要钱呀
