[00:00-00:01] 技能五子棋
[24:29-24:30] 我来个豆
[24:30-24:32] 隔山打土豆
[24:37-24:38] 二位精彩的表演
[24:38-24:41] 真是令人大跌眼镜
[24:42-24:45] 快快加入我的团队吧
[24:52-24:52] 店长
[24:52-24:53] 别说了
[24:54-24:56] 这个人虽然看着有点奇怪
[24:56-24:58] 但是机会难得
[24:58-24:59] 你们去吧
[25:02-25:03] 保重
[25:06-25:08] 天下没有不散的宴席
[25:08-25:10] 不要因我们的离去
[25:10-25:12] 而思念成疾
[25:21-25:22] 也行
[25:27-25:28] 我会忍受的
[25:28-25:30] 它会跟你之间接下来
[25:30-25:31] 你能够跟卑微 acceptable
[25:31-25:32] 希望 Bi pace
[25:37-25:41] 行
[25:41-25:43] 走
[25:43-25:44] 喂
[25:46-25:47] 店长
[25:48-25:50] 你们怎么回来了
[25:50-25:51] 你以为
[25:51-25:53] 我们真的会走吗
[25:53-25:55] 你們还是舍不得小卖部
[25:55-25:58] 什么都要十年恰恰地
[25:58-25:59] 我都
[25:59-25:59] 冷静
[26:00-26:01] 店长
[26:02-26:03] 这些钱你拿着
[26:03-26:03] 这我不能要
[26:03-26:04] 拿着
[26:04-26:05] 这些钱
[26:06-26:07] 兴许能帮到你
[26:08-26:09] 这太多了
[26:09-26:10] 都给我把店买下来了
[26:11-26:12] 我们就是把你的店给卖了
[26:15-26:15] 店长
[26:16-26:17] 吴总收购了这个店
[26:18-26:19] 以后这就叫
[26:19-26:21] 我来个棒棒土豆手捧雷小卖部
[26:24-26:25] 这样
[26:26-26:27] 那你们以后跟着
[26:28-26:29] 吴总好好干
[26:30-26:31] 我
[26:37-26:38] 怎么了
[26:39-26:39] 累了
[26:40-26:41] 这就累了
[26:42-26:43] 那怎么办呢
[26:55-26:57] 黄雷运动饮料
[26:57-26:58] 爆发你的
[26:58-26:59] 红黄之力
[27:00-27:01] 还要把他杀了
[27:01-27:02] 我这不硬黄黄的
[27:02-27:03] 他怎么啦
[27:03-27:04] 这什么音乐
[27:04-27:05] 为了对抗马东来
[27:05-27:06] 我们给现场广告
[27:06-27:07] 做了全面的升级
[27:07-27:08] 你看
[27:08-27:10] 这就累了
[27:11-27:12] 试试这个
[27:13-27:15] 我累个斗
[27:15-27:17] 这是什么真好喝
[27:17-27:18] 黄雷
[27:18-27:19] 黄雷运动饮料
[27:19-27:21] 爆发你的红黄之力
[27:21-27:22] 爆发你的红黄之力
[27:22-27:23] 爆发你的红黄之力
[27:23-27:24] 爆发你的红黄之力
[27:24-27:25] 爆发你的红黄之力
[27:25-27:28] 爆发你的红黄之力
[27:28-27:31] 棒棒小麦布
[27:31-27:32] 吴哥
[27:32-27:33] 全场六元
[27:33-27:36] 棒棒小麦布
[27:36-27:37] 全场六元
[27:37-27:40] 你怎么可以
[27:40-27:41] 欺骗小妹
[27:41-27:45] 我只是和他玩玩吧了兄弟
[27:45-27:48] 你
[27:49-27:50] 我炸死你
[27:53-27:54] 炸死我一下
[27:54-27:58] 棒棒小麦布
[27:58-27:59] 全场六元
[27:59-28:02] 棒棒小麦布
[28:02-28:03] 全场六元
[28:03-28:07] 棒棒小麦布
[28:16-28:18] 来 走 来 走
[28:18-28:18] 加油
[28:18-28:21] 棒棒小麦布
[28:21-28:23] 全场六元
[28:23-28:25] 棒棒小麦布
[28:34-28:36] 终于到了
[28:36-28:38] 冷不丁 帮帮救两拳
[28:38-28:40] 应该就有这儿了
[28:40-28:41] 有人吗
[28:41-28:42] 有人吗
[28:45-28:46] 这位少年
[28:46-28:48] 看着有些面生了
[28:48-28:49] 何师
[28:49-28:52] 你找我有何贵干
[28:52-28:55] 在下王家拳弟十代传人
[28:55-28:56] 王金宝
[28:56-28:57] 就在昨天
[28:57-29:00] 我派遭洋人拳王米歇尔重创
[29:00-29:02] 听闻只有您能与其一战
[29:02-29:05] 所以我来向您拜师学艺
[29:05-29:06] 请回吧
[29:06-29:07] 为什么
[29:07-29:10] 你的双眼里只有仇恨
[29:10-29:11] 可是我的呢
[29:11-29:12] 终于到了
[29:16-29:17] 有人吗
[29:17-29:17] 有人
[29:17-29:18] 有人吗
[29:18-29:19] 肯定有人
[29:19-29:21] 这位少年有何贵干
[29:21-29:22] 就在昨天
[29:22-29:25] 我们派遭洋人拳王米歇尔重创
[29:25-29:26] 就是这个米歇尔
[29:26-29:28] 特来找您拜师学艺
[29:28-29:29] 请回吧
[29:29-29:30] 你的双眼里
[29:30-29:31] 报辞
[29:39-29:40] 我决定送你为徒
[29:40-29:42] 你是没得选了吧
[29:42-29:45] 你刚才还说我双眼充满仇恨呢
[29:45-29:46] 那咋了
[29:46-29:47] 那咋了
[29:47-29:48] 在下正是冷不丁
[29:48-29:51] 帮帮救两拳掌门人
[29:51-29:52] 张八蛋
[29:55-29:57] 八蛋老师
[29:57-29:58] 什么是冷不丁
[29:58-30:00] 帮帮救两拳啊
[30:00-30:02] 不能
[30:02-30:05] 任何人都有精神放空的时刻
[30:05-30:06] 而我们就是抓住这个时机
[30:06-30:08] 上去帮帮救两拳
[30:08-30:09] 这是什么东西啊
[30:10-30:12] 帮帮不帮帮
[30:13-30:15] 我没明白
[30:15-30:17] 你这个孩子真的是笨得流黄汤
[30:17-30:19] 你大脑不要可以给我吗
[30:19-30:20] 别骂了 老师
[30:20-30:22] 到底什么意思
[30:22-30:22] 这样
[30:22-30:24] 我和我的弟子给你演示一番
[30:24-30:25] 你就全明白了
[30:25-30:26] 好
[30:26-30:26] 师父
[30:26-30:29] 这位就是我的弟子
[30:29-30:30] 在下李魂球
[30:30-30:32] 魂球和八蛋
[30:32-30:34] 接下来的一招一式
[30:34-30:35] 我希望你好好看
[30:35-30:36] 好好学
[30:36-30:37] 好
[30:37-30:38] 准备好了吗
[30:38-30:39] 嘉诚
[30:39-30:41] 老师 我的魂球啊
[30:41-30:43] 什么表情啊
[30:43-30:44] 行
[30:49-30:50] 这干嘛呢
[30:50-30:52] 我不服
[30:52-30:52] 我服了
[30:52-30:54] 这有什么可服的
[30:54-30:55] 你别管服不服
[30:55-30:56] 我就问你帮帮不帮帮
[30:56-30:57] 老师
[30:57-30:59] 这还是武术吗
[30:59-31:01] 你小子嘴巴最好放干净点
[31:01-31:03] 小心我俩把你打成
[31:03-31:05] 肉板
[31:05-31:06] 杀线小吃
[31:06-31:08] 来个杀线小吃啊
[31:09-31:13] 你们这个不就是偷袭吗
[31:15-31:16] 承认了
[31:16-31:17] 承认了
[31:17-31:18] 承认了
[31:18-31:19] 承认了
[31:19-31:20] 承认了
[31:20-31:21] 承认了
[31:22-31:22] 不是
[31:22-31:24] 这样怎么打米歇尔啊
[31:26-31:27] 你算是问到点子上了
[31:27-31:28] 我们呢
[31:28-31:30] 就是通过这些迷惑行为
[31:30-31:32] 让对手方寸大乱
[31:32-31:35] 然后再通过这些迷惑行为
[31:35-31:36] 让对手露出破绽
[31:36-31:37] 直接打断
[31:37-31:39] 你瞧瞧
[31:39-31:39] 你瞧瞧
[31:39-31:41] 老师
[31:42-31:44] 谁会信这些烂招呀
[31:44-31:44] 接下来
[31:44-31:46] 你看我如果使用迷惑行为
[31:46-31:47] 把我的徒弟
[31:47-31:49] 迷成迷弟
[31:50-31:51] 若知
[31:52-31:53] 准备好了吗
[31:53-31:54] 加好
[31:54-31:56] 老师 我是浑球啊
[31:56-31:58] 这表情到底啥意思
[31:58-31:59] 停
[32:06-32:08] 你不尴尬吗
[32:08-32:09] 精彩起来
[32:09-32:10] 这哪儿精彩了
[32:15-32:16] 这太幼稚了
[32:17-32:19] 他这一生就完了
[32:19-32:20] 接下来
[32:20-32:22] 击打我的手
[32:24-32:24] 叫师哥
[32:24-32:25] 师哥
[32:25-32:27] 你啥叫师哥的
[32:27-32:28] 不是
[32:28-32:29] 我是来学拳的
[32:29-32:30] 我要打的是米歇尔
[32:30-32:31] 我知道你很急
[32:31-32:31] 不是
[32:31-32:32] 但是你先别急
[32:32-32:34] 你看 你又急了
[32:34-32:34] 你看
[32:34-32:35] 你看那是什么
[32:35-32:36] 你看
[32:40-32:41] 二十年前
[32:41-32:42] 当无事发生了吗
[32:42-32:44] 我与拳王米歇尔
[32:44-32:45] 大战三天三夜
[32:45-32:46] 难分胜负
[32:46-32:48] 在我即将落败之时
[32:48-32:49] 我冷不定给他来了一句
[32:49-32:51] 不让我们说中文
[32:52-32:53] 他直接复辟
[32:53-32:54] 我胜取邦邦就是两拳
[32:54-32:56] 将他击倒在地
[32:56-32:56] 从此
[32:56-32:59] 江湖人称我为拳王八蛋
[33:01-33:02] 拳什么
[33:02-33:03] 你要不信
[33:03-33:04] 可以与我过招
[33:04-33:05] 辩之一二
[33:05-33:07] 我肯定不信
[33:07-33:07] 来吧
[33:07-33:10] 让我看看你们的身本领
[33:10-33:11] 师父
[33:11-33:13] 弟子早已继养难耐
[33:13-33:15] 对付这种大胖小子
[33:15-33:16] 走 就交给我吧
[33:16-33:17] 你快来
[33:17-33:18] 那我们可要点到为止
[33:18-33:19] 江华
[33:19-33:20] 他叫魂球
[33:20-33:21] 滚
[33:21-33:21] 停
[33:27-33:29] 你是一点都不防守
[33:43-33:44] 人呢
[33:45-33:46] 跟我打
[33:48-33:49] 你们到底在干什么
[33:49-33:50] 我
[33:52-33:55] 你们两个赶紧给我出来
[33:55-33:56] 我要让你们见识见识
[33:56-33:57] 王嘉全的
[33:57-33:57] 这个
[34:00-34:01] 邦邦补邦邦
[34:03-34:04] 够了
[34:05-34:06] 你们这个
[34:06-34:07] 根本就不是武术
[34:07-34:09] 你们是在郭嘉嘉吗
[34:09-34:10] 你们两个
[34:10-34:12] 就是孤名钓狱的骗子
[34:15-34:15] 你
[34:16-34:17] 你
[34:18-34:19] 你
[34:21-34:22] 这就是冷不丁邦邦两千的
[34:22-34:23] 最终号词
[34:23-34:25] 把冷不丁变成热不丁
[34:26-34:28] 邦邦不邦邦
[34:29-34:31] 不就是这个吗
[34:31-34:32] 这谁不会啊
[34:32-34:33] 你们两个
[34:33-34:35] 就是奸细的
[34:35-34:36] 邦邦不带
[34:36-34:37] 邦邦不带
[34:37-34:38] 邦邦不带
[34:38-34:39] 邦邦不带
[34:39-34:41] 邦邦不带
[34:41-34:42] 邦邦不带
[34:42-34:43] 邦邦不带
[34:43-34:44] 邦邦不带
[34:44-34:45] 就是骗子
[34:46-34:46] 你
[34:49-34:49] 这种
[34:49-34:50] 不是
[34:50-34:50] 这
[34:51-34:52] 我今年六十了
[35:02-35:03] 对不起
[35:04-35:04] 但
[35:05-35:07] 我是来学拳的
[35:07-35:09] 你们一直在玩耍我
[35:10-35:11] 我觉得我像个小丑
[35:12-35:12] 孩子
[35:13-35:14] 你不是小丑
[35:15-35:16] 你是扁甲
[35:16-35:17] 滚
[35:18-35:19] 告辞
[35:19-35:21] 你要上哪里撤
[35:21-35:23] 全王米歇尔
[35:30-35:32] 好久不见
[35:32-35:34] 张巴德兰
[35:34-35:35] 王坦努西
[35:35-35:36] 米歇尔
[35:36-35:37] 杨文
[35:37-35:38] 我已经大变了
[35:38-35:41] 这条街上所有的拳馆
[35:41-35:42] 只剩下你了
[35:42-35:43] 张巴德兰
[35:43-35:45] 那就来试试吧
[35:45-35:46] 米歇尔
[35:47-35:48] 师父
[35:48-35:50] 弟子早已济养难耐
[35:50-35:51] 对付这种垃圾
[35:51-35:53] 就交给我吧
[35:53-35:54] 米歇尔
[35:54-35:55] 纯废物
[35:55-35:56] 混球
[35:56-35:57] 我来
[35:57-35:58] 一按二
[35:59-36:01] 你根本不是我的对手
[36:02-36:03] 韩子
[36:03-36:04] 想想我交给你
[36:04-36:06] 你教那些
[36:06-36:07] 不能有用的
[36:07-36:08] 你以为
[36:09-36:10] 我是怎么打败的
[36:12-36:13] 说中文
[36:16-36:17] 说中文
[36:19-36:20] 我今年六十了
[36:25-36:27] 他的脑子里好像没有东西
[36:28-36:29] 米歇尔
[36:29-36:31] 你敢折我弟子翅膀
[36:31-36:34] 我定会弥整座天堂
[36:35-36:36] 说中文
[36:36-36:37] 说中文
[36:39-36:40] 说中文
[36:40-36:42] 为你整座天堂
[36:43-36:45] 你把他踩死了
[36:46-36:47] 来吧
[36:51-36:52] 你等着吧
[36:52-36:53] 没有人会猜到
[36:54-36:55] 八蛋老师下一步
[36:55-36:57] 到底要直接逃跑了吗
[37:06-37:07] 看到了吧
[37:08-37:10] 在绝对的力量面前
[37:10-37:12] 你们根本不剩多少
[37:12-37:13] 米歇尔
[37:13-37:15] 我就算打不过你
[37:15-37:16] 我也不会逃避
[37:19-37:20] 住手
[37:21-37:22] 你是什么人
[37:22-37:24] 我乃方火龙胡博
[37:24-37:25] 米歇尔
[37:25-37:27] 我要为我的帮派报仇
[37:31-37:34] 住手
[37:34-37:36] 你光暗住手
[37:36-37:37] 行 刘丹
[37:38-37:39] 就凭你
[37:40-37:42] 也配当万奥的对手
[37:42-37:44] 那加上我们
[37:45-37:46] 黄雷无垠手
[37:46-37:48] 孙天昀
[37:49-37:50] 鸡欲胖头蛇
[37:50-37:52] 欧阳土豆
[37:53-37:55] 孙星霍古手
[37:55-37:56] 蒋毅
[37:56-37:59] 你是被分离徒步了吧
[37:59-38:00] 好大 来 爹你
[38:00-38:01] 好嘞
[38:01-38:02] 他这样怎么打
[38:03-38:04] 我身残至尖
[38:04-38:06] 他只有一个人
[38:06-38:08] 让我们合起伙来
[38:08-38:10] 围剿米歇尔
[38:10-38:11] 好
[38:23-38:24] 师傅 是
[38:30-38:32] 你这头发是染的吗
[38:34-38:35] 打完了
[38:36-38:36] 打完了
[38:40-38:41] 可恶
[38:41-38:43] 他的拳头怎么这么硬
[38:43-38:45] 看见了吧
[38:45-38:47] 这就是炫耀断影的力量
[38:49-38:52] 你在拳头里藏了铁块
[38:52-38:53] 你这不耍赖吗
[38:55-38:56] 那咋啦
[38:57-38:59] 只要能赢
[38:59-39:01] 我可以不择手断
[39:03-39:04] 杠把断
[39:05-39:06] 我熬赖了
[39:07-39:09] 难道就没有人
[39:09-39:11] 可以阻止这个米歇尔了吗
[39:16-39:17] 上啊
[39:20-39:23] 上啊
[39:29-39:30] 孩子
[39:30-39:32] 你别管卡车不卡车
[39:32-39:33] 我就问你
[39:34-39:34] 不
[39:44-39:45] 才
[39:46-39:47] 才能这样吗
[39:47-39:48] 你要记住
[39:48-39:50] 对付这种卑鄙之人
[39:50-39:52] 就算使出更加卑鄙手段
[39:52-39:53] 也无妨
[39:54-39:55] 师傅说得对
[39:57-40:01] 此乃方邦就两拳之真地所在
[40:01-40:03] 你管这个叫真地
[40:03-40:04] 没错
[40:04-40:05] 我们不追求赢
[40:05-40:06] 也不追求输
[40:06-40:07] 不追求快乐
[40:07-40:08] 更不追求哭
[40:08-40:10] 那你们追求啥
[40:10-40:11] 我们什么都不追求
[40:11-40:13] 我们上去方邦就两拳
[40:15-40:16] 说得好
[40:16-40:19] 简直是抛弃了人类最基本的底线
[40:20-40:22] 佩服 佩服啊
[40:22-40:24] 真是地狱空荡荡
[40:24-40:25] 八蛋在人间哪
[40:26-40:28] 八蛋先生
[40:28-40:29] 现在时局动荡
[40:29-40:30] 可否将此等武术
[40:30-40:32] 授予我等了
[40:33-40:34] 那是人家的独门秘籍啊
[40:34-40:36] 你想学啊
[40:36-40:37] 我教你啊
[40:39-40:40] 分手
[40:40-40:40] 是
[40:42-40:43] 各路英雄
[40:43-40:44] 操练起来
[40:56-40:57] 好
[40:57-40:58] 好
[40:58-40:58] 好
[40:58-40:59] 好
[40:59-40:59] 好
[41:01-41:02] 好
[41:07-41:09] 好八蛋
[41:09-41:10] 我们两个还没用拦
[41:10-41:11] 怎么弄啊
[41:11-41:12] 怎么弄啊
[41:12-41:12] 来
